ligando,grupo,evidencia_funcional,atomos_pesados,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,8,-4.009,6,12,0.46,331 334 335 337 338 349,True,5.07,4.01
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,9,-3.828,5,13,0.5,331 334 335 338 349,True,4.17,3.75
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,1,-5.38,8,15,0.58,331 334 335 338 341 347 348 349,True,3.72,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,2,-5.264,6,13,0.5,331 334 335 337 338 349,True,3.74,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,3,-5.083,5,20,0.77,331 334 335 337 338,True,3.66,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,4,-5.012,4,16,0.62,334 337 338 341,True,3.59,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,5,-4.952,7,20,0.77,331 334 335 337 338 341 347,True,3.69,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,6,-4.915,7,16,0.62,331 334 335 338 347 348 349,True,4.3,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,7,-4.86,8,20,0.77,331 334 335 337 338 341 347 349,True,5.56,4.33
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,8,-4.67,6,19,0.73,331 334 335 338 347 349,True,6.59,4.83
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,777,9,-4.581,9,19,0.73,331 334 335 337 338 341 347 348 349,True,6.27,4.33
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,1,-4.891,6,20,0.77,331 334 335 337 338 349,True,3.61,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,2,-4.726,6,21,0.81,334 337 338 341 347 349,True,4.58,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,3,-4.572,6,17,0.65,331 334 337 338 341 349,True,3.76,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,4,-4.471,6,17,0.65,331 334 337 338 341 349,True,3.81,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,5,-4.291,6,13,0.5,331 334 335 337 338 349,True,4.91,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,6,-4.184,5,15,0.58,334 338 341 347 349,True,4.38,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,7,-4.173,6,11,0.42,331 334 335 337 338 349,True,4.72,3.39
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,8,-4.169,4,12,0.46,331 334 335 349,True,3.6,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,42,9,-4.095,6,13,0.5,331 334 335 337 338 349,True,4.05,3.44
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,1,-5.199,6,20,0.77,331 334 335 337 338 349,True,3.61,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,2,-5.044,6,22,0.85,334 337 338 341 347 349,True,4.58,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,3,-4.909,8,19,0.73,331 334 335 337 338 341 347 349,True,3.71,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,4,-4.789,6,17,0.65,331 334 337 338 341 349,True,3.81,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,5,-4.592,7,12,0.46,331 334 335 338 341 347 349,True,4.87,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,6,-4.56,5,17,0.65,334 338 341 347 349,True,3.65,3.44
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,7,-4.493,4,18,0.69,327 331 334 349,True,3.75,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,8,-4.485,6,12,0.46,331 334 335 337 338 349,True,4.38,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,5,2026,9,-4.47,6,11,0.42,331 334 335 337 338 349,True,4.22,3.55
