ligando,grupo,evidencia_funcional,atomos_pesados,residuo_flexible,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,5,-4.847,4,17,0.65,334 337 338 342,True,3.66,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,6,-4.763,9,12,0.46,311 312 313 314 318 323 327 328 331,False,8.51,6.88
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,7,-4.545,4,16,0.62,327 330 331 334,True,3.65,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,8,-4.485,4,16,0.62,331 334 338 342,True,3.65,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,9,-4.461,9,11,0.42,311 312 313 314 318 323 327 328 331,False,9.43,8.67
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,1,-6.114,6,21,0.81,331 334 335 338 348 349,True,3.67,3.31
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,2,-6.047,7,22,0.85,331 334 335 337 338 347 349,True,3.97,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,3,-5.949,8,15,0.58,331 334 335 338 341 347 348 349,True,3.73,3.65
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,4,-5.943,8,15,0.58,331 334 335 337 338 341 347 349,True,3.64,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,5,-5.917,8,18,0.69,331 334 335 338 341 347 348 349,True,3.62,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,6,-5.905,5,21,0.81,331 334 335 338 349,True,3.61,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,7,-5.78,9,20,0.77,331 334 335 337 338 341 347 348 349,True,3.96,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,8,-5.701,8,19,0.73,324 327 328 331 334 335 338 349,True,3.71,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,42,9,-5.646,9,16,0.62,331 334 335 338 339 341 347 348 349,True,3.78,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,1,-5.78,7,21,0.81,331 334 335 338 347 348 349,True,3.72,3.31
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,2,-5.697,7,22,0.85,331 334 335 337 338 347 349,True,3.98,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,3,-5.612,8,15,0.58,331 334 335 338 341 347 348 349,True,3.8,3.65
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,4,-5.574,8,18,0.69,331 334 335 337 338 341 347 349,True,3.6,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,5,-5.391,8,18,0.69,327 328 331 332 334 335 338 349,True,5.16,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,6,-5.39,8,19,0.73,331 334 335 337 338 347 348 349,True,3.97,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,7,-5.338,6,16,0.62,331 334 335 338 347 348,True,3.7,3.5
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,4,2026,8,-5.207,8,19,0.73,331 334 335 337 338 341 347 349,True,3.97,3.54
