rbind_id,nombre,smiles,mw,pesados,estado
R-BIND (SM) 0083,DB1246,N=C(N)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=N)N)cn4)o3)o2)nc1,374.4,28,entra (NC)
R-BIND (SM) 0084,DB1247,N=C(N)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=N)N)cn4)s3)s2)nc1,406.52,28,entra (NC)
R-BIND (SM) 0085,DB1273,N=C(N)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=N)N)cn4)[se]3)[se]2)nc1,500.35,28,entra (NC)
R-BIND (SM) 0086,Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,317.23,23,entra (NC)
R-BIND (SM) 0087,Anthrafurandione 2a,NCCNc1c2c(c(NCCN)c3occc13)C(=O)c1ccccc1C2=O,366.42,27,entra (NC)
R-BIND (SM) 0088,Anthrathiophenedione 2b,NCCNc1c2c(c(NCCN)c3sccc13)C(=O)c1ccccc1C2=O,382.48,27,entra (NC)
R-BIND (SM) 0089,Aminosulfonylarylisoxazole 2,Cc1ccc(-c2onc(C)c2C)cc1S(=O)(=O)N1CCc2ccccc21,368.45,26,entra (NC)
R-BIND (SM) 0090,Aminosulfonylarylisoxazole 4,COc1ccc(-c2onc(C)c2C)cc1S(=O)(=O)N1CCc2ccccc2C1,398.48,28,entra (NC)
R-BIND (SM) 0091,PK4C9,O=C(c1cnc(C(=O)c2c[nH]c3cc(O)ccc23)[nH]1)c1c[nH]c2ccccc12,370.37,28,entra (NC)
R-BIND (SM) 0092,Risdiplam,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,402.48,30,entra (NC)
R-BIND (SM) 0093,SMN-C2,CCN1CCN(c2ccc3cc(-c4cn5cc(C)nc(C)c5n4)c(=O)oc3c2)C[C@@H]1C,418.52,31,entra (NC)
R-BIND (SM) 0094,SMN-C3,CCN1CCN(c2cc(C)c3nc(-c4cc5c(C)nc(C)cn5n4)cc(=O)n3c2)CC1,418.52,31,entra (NC)
R-BIND (SM) 0095,SMN-C5,Cc1cn2cc(-c3cc(=O)n4cc(N5CCN(C)CC5)ccc4n3)cc(F)c2n1,393.45,29,entra (NC)
R-BIND (SM) 0096,Quindoline CK1-14,c1ccc2c(NCc3cn(CCCN4CCCCC4)nn3)c3oc4ccccc4c3nc2c1,442.57,33,entra (NC)
R-BIND (SM) 0097,Topotecan,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,422.46,31,entra (NC)
R-BIND (SM) 0098,Triptycene 1,NCCCC[C@H](N)C(=O)Nc1ccc2c(c1)C1c3cc(NC(=O)[C@@H](N)CCCCN)ccc3C2c2ccc(NC(=O)[C@@H](N)CCCCN)cc21,689.95,50,entra (NC)
R-BIND (SM) 0099,Bisamidinium 6,N=C(NCCCc1c(N)nc(N)nc1N)c1ccc(C(=N)NCCCc2c(N)nc(N)nc2N)cc1,496.63,36,entra (NC)
