ligando,reparado,atomos_smiles,atomos_preparado,motivo
CHEMBL1859281,1,30,30,ya estaba
CHEMBL1859306,1,28,28,ya estaba
CHEMBL1859373,1,24,24,ya estaba
CHEMBL1859446,1,20,20,ya estaba
CHEMBL1859478,1,27,27,ya estaba
CHEMBL1859661,1,26,26,ya estaba
CHEMBL1859738,1,20,20,ya estaba
CHEMBL1859763,1,21,21,ya estaba
CHEMBL1859772,1,24,24,ya estaba
CHEMBL1859926,1,25,25,ya estaba
CHEMBL1859933,1,21,21,ya estaba
CHEMBL1860229,1,25,25,ya estaba
CHEMBL1860353,1,25,25,ya estaba
CHEMBL1860384,1,25,25,ya estaba
CHEMBL1860386,1,28,28,ya estaba
CHEMBL1860492,1,19,19,ya estaba
CHEMBL1860518,1,24,24,ya estaba
CHEMBL1863531,1,39,39,ya estaba
CHEMBL1863566,1,18,18,ya estaba
CHEMBL1863569,1,19,19,ya estaba
CHEMBL1863570,1,35,35,ya estaba
CHEMBL1863592,1,45,45,ya estaba
CHEMBL1863603,1,38,38,ya estaba
CHEMBL1863653,1,45,45,ya estaba
CHEMBL1863660,1,35,35,ya estaba
CHEMBL1863665,1,21,21,ya estaba
CHEMBL1863675,1,26,26,ya estaba
CHEMBL1863697,1,38,38,ya estaba
CHEMBL1863747,1,25,25,ya estaba
CHEMBL1863759,1,25,25,ya estaba
CHEMBL1863773,1,40,40,ya estaba
CHEMBL1863774,1,25,25,ya estaba
CHEMBL1863775,1,35,35,ya estaba
CHEMBL1863778,1,40,40,ya estaba
CHEMBL1863795,1,23,23,ya estaba
CHEMBL1863797,1,30,30,ya estaba
CHEMBL1863812,1,23,23,ya estaba
CHEMBL1863816,1,34,34,ya estaba
CHEMBL1863831,1,31,31,ya estaba
CHEMBL1863833,1,42,42,ya estaba
CHEMBL1863835,1,43,43,ya estaba
CHEMBL1863870,1,41,41,ya estaba
CHEMBL1863882,1,46,46,ya estaba
CHEMBL1863900,1,25,25,ya estaba
CHEMBL1863918,1,22,22,ya estaba
CHEMBL1863948,1,21,21,ya estaba
CHEMBL1863969,1,42,42,ya estaba
CHEMBL1863989,1,36,36,ya estaba
CHEMBL1864004,1,14,14,ya estaba
CHEMBL1864017,1,27,27,ya estaba
CHEMBL1864055,1,26,26,ya estaba
CHEMBL1864070,1,40,40,ya estaba
CHEMBL1864124,1,42,42,ya estaba
CHEMBL1864127,1,17,17,ya estaba
CHEMBL1864144,1,35,35,ya estaba
CHEMBL1864180,1,22,22,ya estaba
CHEMBL1864195,1,20,20,ya estaba
CHEMBL1864196,1,43,43,ya estaba
CHEMBL1864201,1,37,37,ya estaba
CHEMBL1864210,1,22,22,ya estaba
CHEMBL1864214,1,40,40,ya estaba
CHEMBL1864237,1,42,42,ya estaba
CHEMBL1864245,1,21,21,ya estaba
CHEMBL1864246,1,21,21,ya estaba
CHEMBL1864274,1,27,27,ya estaba
CHEMBL1864275,1,28,28,ya estaba
CHEMBL1864282,1,46,46,ya estaba
CHEMBL1864308,1,46,46,ya estaba
CHEMBL1864319,1,37,37,ya estaba
CHEMBL1864343,1,34,34,ya estaba
CHEMBL1864366,1,24,24,ya estaba
CHEMBL1864378,1,32,32,ya estaba
CHEMBL1864388,1,19,19,ya estaba
CHEMBL1864407,1,24,24,ya estaba
CHEMBL1864457,1,40,40,ya estaba
CHEMBL1864483,1,37,37,ya estaba
CHEMBL1864491,1,22,22,ya estaba
CHEMBL1864521,1,23,23,ya estaba
CHEMBL1864554,1,21,21,ya estaba
CHEMBL1864557,1,43,43,ya estaba
CHEMBL1864594,1,30,30,ya estaba
CHEMBL1864597,1,41,41,ya estaba
