target,ligand,afinidad
FUS,CHEMBL1208432,-6.5
FUS,CHEMBL1208433,-7.1
FUS,CHEMBL1208438,-6.9
FUS,CHEMBL1208479,-6.7
FUS,CHEMBL1208600,-6.6
FUS,CHEMBL1208793,-7.0
FUS,CHEMBL1208802,-6.6
FUS,CHEMBL1208831,-6.4
FUS,CHEMBL1208903,-7.1
FUS,CHEMBL1209719,-8.6
FUS,CHEMBL1209725,-9.1
FUS,CHEMBL12098,-6.5
FUS,CHEMBL1209968,-6.4
FUS,CHEMBL1210298,-6.5
FUS,CHEMBL1210303,-6.8
FUS,CHEMBL1210444,-6.5
FUS,CHEMBL1210506,-7.2
FUS,CHEMBL1210534,-6.4
FUS,CHEMBL1210536,-6.5
FUS,CHEMBL1210547,-6.5
FUS,CHEMBL1210548,-6.4
FUS,CHEMBL1210564,-6.4
FUS,CHEMBL1210592,-8.3
FUS,CHEMBL1210607,-6.4
FUS,CHEMBL1210628,-6.7
FUS,CHEMBL1210629,-6.8
FUS,CHEMBL1210643,-6.4
FUS,CHEMBL1210661,-6.5
FUS,CHEMBL1210672,-6.5
FUS,CHEMBL1210692,-6.5
FUS,CHEMBL1210693,-6.5
FUS,CHEMBL1210717,-6.4
FUS,CHEMBL1210718,-6.6
FUS,CHEMBL1210729,-6.4
FUS,CHEMBL1210731,-6.7
FUS,CHEMBL1210755,-6.4
FUS,CHEMBL1210783,-7.3
FUS,CHEMBL1210803,-7.1
FUS,CHEMBL1210813,-6.8
FUS,CHEMBL1210814,-6.5
FUS,CHEMBL1210815,-6.4
FUS,CHEMBL1210816,-6.5
FUS,CHEMBL1210835,-6.4
FUS,CHEMBL1210860,-6.7
FUS,CHEMBL1210863,-6.4
FUS,CHEMBL1210866,-7.0
FUS,CHEMBL1210867,-6.4
FUS,CHEMBL1210899,-7.2
FUS,CHEMBL1210900,-6.7
FUS,CHEMBL1210901,-6.8
FUS,CHEMBL1210902,-6.8
FUS,CHEMBL1210943,-6.4
FUS,CHEMBL1210981,-6.5
FUS,CHEMBL1213497,-6.4
FUS,CHEMBL1214058,-7.0
FUS,CHEMBL12143,-7.4
FUS,CHEMBL1214612,-6.7
FUS,CHEMBL1215356,-7.0
FUS,CHEMBL12212,-6.4
FUS,CHEMBL1222580,-7.1
FUS,CHEMBL1222706,-6.5
FUS,CHEMBL1222790,-6.7
FUS,CHEMBL1222867,-6.6
FUS,CHEMBL12346,-6.4
FUS,CHEMBL1237042,-6.7
FUS,CHEMBL1237046,-6.7
FUS,CHEMBL1237124,-6.8
FUS,CHEMBL1242340,-6.8
FUS,CHEMBL1242353,-6.7
FUS,CHEMBL1242354,-6.6
FUS,CHEMBL1242357,-6.4
FUS,CHEMBL1242366,-6.5
FUS,CHEMBL1242367,-6.6
FUS,CHEMBL1242373,-6.6
FUS,CHEMBL1242387,-6.6
FUS,CHEMBL1242433,-6.6
FUS,CHEMBL1242447,-6.6
FUS,CHEMBL1242457,-6.4
FUS,CHEMBL1242478,-6.4
FUS,CHEMBL1242515,-6.7
FUS,CHEMBL1242526,-6.4
FUS,CHEMBL1242527,-6.5
FUS,CHEMBL1242528,-6.5
FUS,CHEMBL1242533,-6.8
FUS,CHEMBL1242553,-6.4
FUS,CHEMBL1242575,-6.9
FUS,CHEMBL1242619,-6.4
FUS,CHEMBL1242620,-6.9
FUS,CHEMBL1242623,-6.7
FUS,CHEMBL1242642,-6.4
FUS,CHEMBL1242643,-6.5
FUS,CHEMBL1242712,-6.6
FUS,CHEMBL1242717,-6.5
FUS,CHEMBL1242735,-6.5
FUS,CHEMBL1242738,-6.4
FUS,CHEMBL1242776,-6.5
FUS,CHEMBL1242804,-6.5
FUS,CHEMBL1242810,-6.7
FUS,CHEMBL1242836,-6.4
FUS,CHEMBL1242845,-6.5
FUS,CHEMBL1242895,-6.5
FUS,CHEMBL1242896,-6.4
FUS,CHEMBL1242900,-6.5
FUS,CHEMBL1242904,-6.4
FUS,CHEMBL1242905,-6.7
FUS,CHEMBL1242996,-6.4
FUS,CHEMBL1243042,-6.4
FUS,CHEMBL1243078,-6.8
FUS,CHEMBL1243167,-6.5
FUS,CHEMBL1243200,-7.0
FUS,CHEMBL1243235,-6.4
FUS,CHEMBL1243248,-6.4
FUS,CHEMBL1243326,-6.6
FUS,CHEMBL12510,-7.0
FUS,CHEMBL1253516,-6.7
FUS,CHEMBL1253539,-6.5
FUS,CHEMBL12638,-6.4
FUS,CHEMBL12645,-7.7
FUS,CHEMBL12696,-6.6
FUS,CHEMBL12761,-6.8
FUS,CHEMBL12814,-7.0
FUS,CHEMBL128762,-7.3
FUS,CHEMBL12910,-6.4
FUS,CHEMBL12989,-6.6
FUS,CHEMBL13013,-6.5
FUS,CHEMBL13048,-6.4
FUS,CHEMBL13096,-6.4
FUS,CHEMBL13119,-7.1
FUS,CHEMBL13128,-6.4
FUS,CHEMBL13156,-6.4
FUS,CHEMBL13174,-6.6
FUS,CHEMBL13184,-6.4
FUS,CHEMBL13208,-6.5
FUS,CHEMBL13227,-6.9
FUS,CHEMBL1327582,-6.4
FUS,CHEMBL13317,-7.3
FUS,CHEMBL13342,-6.4
FUS,CHEMBL13349,-6.5
FUS,CHEMBL13354,-6.4
FUS,CHEMBL13372,-6.5
FUS,CHEMBL13407,-6.7
FUS,CHEMBL13411,-7.6
FUS,CHEMBL13421,-6.4
FUS,CHEMBL13436,-6.4
FUS,CHEMBL1343658,-6.6
FUS,CHEMBL13464,-6.5
FUS,CHEMBL13488,-6.6
FUS,CHEMBL13495,-6.4
FUS,CHEMBL13524,-6.7
FUS,CHEMBL13550,-6.5
FUS,CHEMBL13565,-6.4
FUS,CHEMBL13568,-6.5
FUS,CHEMBL1357321,-6.4
FUS,CHEMBL13577,-6.4
FUS,CHEMBL13578,-6.5
FUS,CHEMBL13604,-6.6
FUS,CHEMBL13626,-6.9
FUS,CHEMBL13640,-6.4
FUS,CHEMBL13675,-6.6
FUS,CHEMBL13693,-6.6
FUS,CHEMBL13720,-6.5
FUS,CHEMBL13731,-6.6
FUS,CHEMBL13734,-6.5
FUS,CHEMBL13746,-6.5
FUS,CHEMBL13771,-6.5
FUS,CHEMBL13841,-6.7
FUS,CHEMBL13850,-6.4
