ligand,smiles,metal,motivo,smiles_corregido
CHEMBL2105776,C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)[O-].C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)[O-].[Ca+2],Ca,metal_Ca,C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)[O-]
CHEMBL2105877,[125I-].[Na+],Na,metal_Na,[Na+]
CHEMBL2105897,O=S(=O)([O-])[O-].[Ba+2],Ba,metal_Ba,[Ba+2]
CHEMBL2105902,COc1ccc([N-]S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1F.[Na+],Na,metal_Na,COc1ccc([N-]S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1F
CHEMBL2105904,CCC1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],Na,metal_Na,CCC1(CC)C(=O)[N-]C(=O)NC1=O
CHEMBL2105931,Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)[O-])cc2)cc1.[Na+],Na,metal_Na,Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)[O-])cc2)cc1
CHEMBL2105941,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+],Na,metal_Na,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O
CHEMBL2106031,O=S(=O)(c1ccc(NC(CC(c2ccccc2)S(=O)(=O)[O-])S(=O)(=O)[O-])cc1)c1ccc(NC(CC(c2ccccc2)S(=O)(=O)[O-])S(=O)(=O)[O-])cc1.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,O=S(=O)(c1ccc(NC(CC(c2ccccc2)S(=O)(=O)[O-])S(=O)(=O)[O-])cc1)c1ccc(NC(CC(c2ccccc2)S(=O)(=O)[O-])S(=O)(=O)[O-])cc1
CHEMBL2106111,CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2],Ca,metal_Ca,CC(O)C(=O)[O-]
CHEMBL2106119,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],Ca,metal_Ca,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CHEMBL2106123,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],Ca,metal_Ca,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
CHEMBL2106129,O.O.O.O.O.O=C(Nc1ccc(C(=O)[O-])c(O)c1)c1ccccc1.O=C(Nc1ccc(C(=O)[O-])c(O)c1)c1ccccc1.[Ca+2],Ca,metal_Ca,O=C(Nc1ccc(C(=O)[O-])c(O)c1)c1ccccc1
CHEMBL2106184,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C.[Na+],Na,metal_Na,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C
CHEMBL2106191,O=S(=O)([O-])c1cc(O)ccc1O.O=S(=O)([O-])c1cc(O)ccc1O.[Ca+2],Ca,metal_Ca,O=S(=O)([O-])c1cc(O)ccc1O
CHEMBL2106201,O=C([O-])CC1(CO)CCCCC1.[Na+],Na,metal_Na,O=C([O-])CC1(CO)CCCCC1
CHEMBL2106318,CNC(=O)c1c(I)c(NC(C)=O)c([125I])c(C(=O)[O-])c1[125I].[Na+],Na,metal_Na,CNC(=O)c1c(I)c(NC(C)=O)c([125I])c(C(=O)[O-])c1[125I]
CHEMBL2106319,C[C@]12CCC(=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)COC(=O)CCC(=O)[O-])CC[C@@H]12.[Na+],Na,metal_Na,C[C@]12CCC(=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)COC(=O)CCC(=O)[O-])CC[C@@H]12
CHEMBL2106377,CCC(=O)Nc1c(I)c(NC(=O)CC)c(I)c(C(=O)[O-])c1I.[Na+],Na,metal_Na,CCC(=O)Nc1c(I)c(NC(=O)CC)c(I)c(C(=O)[O-])c1I
CHEMBL2106378,O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],Na,metal_Na,O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1
CHEMBL2106379,O=C(NCCCNC(=O)[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]1O[C@H](COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-])[C@@H](COS(=O)(=O)[O-])OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]1O[C@H](COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-])[C@@H](COS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Na,metal_Na,O=C(NCCCNC(=O)[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]1O[C@H](COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-])[C@@H](COS(=O)(=O)[O-])OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]1O[C@H](COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-])[C@@H](COS(=O)(=O)[O-])OS(=O)(=O)[O-]
CHEMBL2106388,[Ca+2].[OH-].[OH-],Ca,metal_Ca,[OH-]
CHEMBL2106418,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)[O-].[Na+],Na,metal_Na,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
CHEMBL2106453,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+],Na,metal_Na,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])[C@@]2(C)C=CC(=O)C=C12
CHEMBL2106556,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2],Ca,metal_Ca,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O
CHEMBL2106566,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2],Ca,metal_Ca,O=P([O-])([O-])[O-]
CHEMBL2106608,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Ca+2],Ca,metal_Ca,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
CHEMBL2106625,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-].CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-].[Ca+2],Ca,metal_Ca,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-]
CHEMBL2106633,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2],Mg,metal_Mg,CCCCCCCCCCCCCCCCCC(=O)[O-]
CHEMBL2106643,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2.[Na+],Na,metal_Na,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2
CHEMBL2106716,C=CCC1(CC(C)C)C(=O)[N-]C(=S)NC1=O.[Na+],Na,metal_Na,C=CCC1(CC(C)C)C(=O)[N-]C(=S)NC1=O
CHEMBL2106751,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1.[Na+].[Na+],Na,metal_Na,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
CHEMBL2106803,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-].CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-].[Mg+2],Mg,metal_Mg,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-]
CHEMBL2106823,O=C([O-])c1ccc(S(=O)(=O)[N-]Cl)cc1.[Na+].[Na+],Na,metal_Na,O=C([O-])c1ccc(S(=O)(=O)[N-]Cl)cc1
CHEMBL2106883,Cc1cc(OS(=O)(=O)[O-])c2ccccc2c1OS(=O)(=O)[O-].[Na+].[Na+],Na,metal_Na,Cc1cc(OS(=O)(=O)[O-])c2ccccc2c1OS(=O)(=O)[O-]
CHEMBL2106907,O=S(=O)([O-])CI.[Na+],Na,metal_Na,O=S(=O)([O-])CI
CHEMBL2106963,C1CNCCN1.O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Ca+2],Ca,metal_Ca,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O
CHEMBL2106975,O=C([O-])O.[K+],K,metal_K,O=C([O-])O
CHEMBL2106978,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[K+],K,metal_K,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CHEMBL2107002,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)[O-].[K+],K,metal_K,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)[O-]
CHEMBL2107027,O=C([O-])CCCCCCCNC(=O)c1ccccc1O.[Na+],Na,metal_Na,O=C([O-])CCCCCCCNC(=O)c1ccccc1O
CHEMBL2107123,N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-].[Na+].[Na+],Na,metal_Na,N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
CHEMBL2107192,C[N+](C)(C)CCO.C[N+](C)(C)CCO.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.O=S(=O)([O-])[O-].[Mg+2],Mg,metal_Mg,O=C([O-])c1ccccc1O
CHEMBL2107211,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.O.O.O.[Na+],Na,metal_Na,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O
CHEMBL2107245,O=c1[n-]c(=O)n(Cl)c(=O)n1Cl.[K+],K,metal_K,O=c1[n-]c(=O)n(Cl)c(=O)n1Cl
CHEMBL2107253,COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1.[Na+],Na,metal_Na,COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1
CHEMBL2107260,Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1.[Na+],Na,metal_Na,Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1
CHEMBL2107334,CC(C)(C)[N+]([O-])=Cc1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-].[Na+].[Na+],Na,metal_Na,CC(C)(C)[N+]([O-])=Cc1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-]
CHEMBL2107338,O=S(=O)([O-])CCCS(=O)(=O)[O-].[Na+].[Na+],Na,metal_Na,O=S(=O)([O-])CCCS(=O)(=O)[O-]
CHEMBL2107354,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC.O.[Na+],Na,metal_Na,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC
CHEMBL2107374,O=C([O-])CCSC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)C(O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]9CSCCC(=O)[O-])O[C@@H]8CSCCC(=O)[O-])O[C@@H]7CSCCC(=O)[O-])O[C@@H]6CSCCC(=O)[O-])O[C@@H]5CSCCC(=O)[O-])O[C@@H]4CSCCC(=O)[O-])O[C@@H]3CSCCC(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Na,metal_Na,O=C([O-])CCSC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)C(O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]9CSCCC(=O)[O-])O[C@@H]8CSCCC(=O)[O-])O[C@@H]7CSCCC(=O)[O-])O[C@@H]6CSCCC(=O)[O-])O[C@@H]5CSCCC(=O)[O-])O[C@@H]4CSCCC(=O)[O-])O[C@@H]3CSCCC(=O)[O-]
CHEMBL2107403,O=S(=O)(NCO)c1ccc(NC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)S(=O)(=O)[O-])cc1.[Na+],Na,metal_Na,O=S(=O)(NCO)c1ccc(NC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)S(=O)(=O)[O-])cc1
CHEMBL2107525,O=[32P]([O-])([O-])O.[Na+].[Na+],Na,metal_Na,O=[32P]([O-])([O-])O
CHEMBL2107554,CC(C)(C)c1ccc2c(S(=O)(=O)[O-])c(C(C)(C)C)ccc2c1.[Na+],Na,metal_Na,CC(C)(C)c1ccc2c(S(=O)(=O)[O-])c(C(C)(C)C)ccc2c1
CHEMBL2107560,O.O.O=P([O-])([O-])O.[Na+].[Na+],Na,metal_Na,O=P([O-])([O-])O
CHEMBL2107562,O=C([O-])c1cc(O)ccc1O.[Na+],Na,metal_Na,O=C([O-])c1cc(O)ccc1O
CHEMBL2107611,[Na+].[Na+].[S-2],Na,metal_Na,[S-2]
CHEMBL2107648,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[K+],K,metal_K,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
CHEMBL2107701,CCCCC(CC)COS(=O)(=O)[O-].[Na+],Na,metal_Na,CCCCC(CC)COS(=O)(=O)[O-]
CHEMBL2107710,O=P([O-])([O-])Oc1ccc(C(c2ccc(OP(=O)([O-])[O-])cc2)c2ccccn2)cc1.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,O=P([O-])([O-])Oc1ccc(C(c2ccc(OP(=O)([O-])[O-])cc2)c2ccccn2)cc1
CHEMBL2107713,O=C([O-])CN1CCN(CC(=O)[O-])CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1.[Ca+2],Ca,metal_Ca,O=C([O-])CN1CCN(CC(=O)[O-])CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1
CHEMBL2107806,C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)[O-])[C@@H](CCC(=O)[O-])[C@@H]3C.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)[O-])[C@@H](CCC(=O)[O-])[C@@H]3C
CHEMBL2107816,Cl[223Ra]Cl,Ra,metal_Ra,[Cl][223Ra][Cl]
CHEMBL2107817,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],Na,metal_Na,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-]
CHEMBL2109688,CC1=CC(C)(C)[C@@H](/C=C\[C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H](OS(=O)(=O)[O-])[C@H]5C[C@H](O)[C@@H](OS(=O)(=O)[O-])C[C@]5(C)[C@H]4CC[C@]23C)[C@H]1CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)[O-])[C@H]4C[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])C[C@]4(C)[C@H]3CC[C@]12C.[Na+].[Na+].[Na+].[Na+].[Na+],Na,metal_Na,CC1=CC(C)(C)[C@@H](/C=C\[C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H](OS(=O)(=O)[O-])[C@H]5C[C@H](O)[C@@H](OS(=O)(=O)[O-])C[C@]5(C)[C@H]4CC[C@]23C)[C@H]1CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)[O-])[C@H]4C[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])C[C@]4(C)[C@H]3CC[C@]12C
CHEMBL2110557,[Cl-].[Rb+],Rb,metal_Rb,[Rb+]
CHEMBL2111187,Cl[Ra]Cl,Ra,metal_Ra,[Cl][Ra][Cl]
CHEMBL2111286,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],Bi,metal_Bi,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
CHEMBL2146090,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)[N-]S(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O.[Na+],Na,metal_Na,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)[N-]S(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O
CHEMBL2146108,O=C(CCn1cnc2c(=O)[nH]cnc21)Nc1ccc(C(=O)[O-])cc1.[K+],K,metal_K,O=C(CCn1cnc2c(=O)[nH]cnc21)Nc1ccc(C(=O)[O-])cc1
CHEMBL2146124,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1.[Na+],Na,metal_Na,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1
CHEMBL2146140,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.O.O.O.O.[Sr+2],Sr,metal_Sr,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
CHEMBL2218894,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],Na,metal_Na,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21
CHEMBL2218916,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[OH-],Ca,metal_Ca,O=P([O-])([O-])[O-]
CHEMBL2219410,O=C([O-])c1ccc(/C=C/S(=O)(=O)Cc2ccc(Cl)cc2)cc1.[Na+],Na,metal_Na,O=C([O-])c1ccc(/C=C/S(=O)(=O)Cc2ccc(Cl)cc2)cc1
CHEMBL2219640,[Cl-].[Cl-].[Sr+2],Sr,metal_Sr,[Sr+2]
CHEMBL2219642,[Cl-].[Cl-].[Mg+2],Mg,metal_Mg,[Mg+2]
CHEMBL2219740,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2],Ca,metal_Ca,O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
CHEMBL2315212,CCCC(CCC)C(=O)[O-].CCCC(CCC)C(=O)[O-].[Mg+2],Mg,metal_Mg,CCCC(CCC)C(=O)[O-]
CHEMBL2322189,C[C@@H]1O[C@@H]1P(=O)([O-])O.[Na+],Na,metal_Na,C[C@@H]1O[C@@H]1P(=O)([O-])O
CHEMBL233406,O=S(=O)([O-])[O-].[Na+].[Na+],Na,metal_Na,O=S(=O)([O-])[O-]
CHEMBL23393,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],Na,metal_Na,CCCCCCCCCCCCOS(=O)(=O)[O-]
CHEMBL2359093,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12.[Na+].[Na+],Na,metal_Na,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12
CHEMBL2360464,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1.[Na+].[Na+],Na,metal_Na,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1
CHEMBL2364574,C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.[Ca+2],Ca,metal_Ca,C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
CHEMBL2364625,O=C([O-])C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1.[Na+],Na,metal_Na,O=C([O-])C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1
CHEMBL2364738,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I.CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I.[Mg+2],Mg,metal_Mg,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I
CHEMBL2364959,CCCCCCCCCCCCCCCCCC(=O)OC(COC)COP([O-])(O)=S.[Na+],Na,metal_Na,CCCCCCCCCCCCCCCCCC(=O)OC(COC)COP([O-])(O)=S
CHEMBL2365070,CCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S.[Na+],Na,metal_Na,CCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S
CHEMBL2365071,CCCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S.[Na+],Na,metal_Na,CCCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S
CHEMBL238830,O=C([O-])CC[C@H](NP(=O)([O-])[O-])C(=O)[O-].[Li+].[Li+].[Li+].[Li+],Li,metal_Li,O=C([O-])CC[C@H](NP(=O)([O-])[O-])C(=O)[O-]
CHEMBL259898,C[C@]12CC[C@H](OS(=O)(=O)[O-])CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.O.[Na+],Na,metal_Na,C[C@]12CC[C@H](OS(=O)(=O)[O-])CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL261244,CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@H]2O[C@H](/C=C/c3ccccc3)O[C@H]21.[Na+].[Na+],Na,metal_Na,CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@H]2O[C@H](/C=C/c3ccccc3)O[C@H]21
CHEMBL262636,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+],Na,metal_Na,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-]
CHEMBL263932,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
CHEMBL264478,O=C([O-])c1cc(F)ccc1Cn1nnc(-c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)n1.[Na+],Na,metal_Na,O=C([O-])c1cc(F)ccc1Cn1nnc(-c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)n1
