target,ligand,afinidad
FUS,CHEMBL3311386,-7.1
FUS,CHEMBL3311454,-7.1
FUS,CHEMBL3350975,-7.1
FUS,CHEMBL33607,-7.1
FUS,CHEMBL34037,-7.1
FUS,CHEMBL36628,-7.1
FUS,CHEMBL37799,-7.1
FUS,CHEMBL38990,-7.1
FUS,CHEMBL39536,-7.1
FUS,CHEMBL41652,-7.1
FUS,CHEMBL4435185,-7.1
FUS,CHEMBL4435245,-7.1
FUS,CHEMBL4435579,-7.1
FUS,CHEMBL4435877,-7.1
FUS,CHEMBL4436292,-7.1
FUS,CHEMBL4436340,-7.1
FUS,CHEMBL4436414,-7.1
FUS,CHEMBL4436591,-7.1
FUS,CHEMBL44693,-7.1
FUS,CHEMBL4527850,-7.1
FUS,CHEMBL4529557,-7.1
FUS,CHEMBL4530827,-7.1
FUS,CHEMBL4531144,-7.1
FUS,CHEMBL4531740,-7.1
FUS,CHEMBL4531795,-7.1
FUS,CHEMBL4531830,-7.1
FUS,CHEMBL4532360,-7.1
FUS,CHEMBL4532859,-7.1
FUS,CHEMBL45424,-7.1
FUS,CHEMBL4562848,-7.1
FUS,CHEMBL4564343,-7.1
FUS,CHEMBL4564352,-7.1
FUS,CHEMBL4566359,-7.1
FUS,CHEMBL4567850,-7.1
FUS,CHEMBL4569396,-7.1
FUS,CHEMBL4571062,-7.1
FUS,CHEMBL4572828,-7.1
FUS,CHEMBL4573939,-7.1
FUS,CHEMBL4575062,-7.1
FUS,CHEMBL4581217,-7.1
FUS,CHEMBL4581829,-7.1
FUS,CHEMBL4581833,-7.1
FUS,CHEMBL4581966,-7.1
FUS,CHEMBL4582211,-7.1
FUS,CHEMBL4582301,-7.1
FUS,CHEMBL4582406,-7.1
FUS,CHEMBL4635157,-7.1
FUS,CHEMBL4635394,-7.1
FUS,CHEMBL4635468,-7.1
FUS,CHEMBL4636184,-7.1
FUS,CHEMBL4636372,-7.1
FUS,CHEMBL4636617,-7.1
FUS,CHEMBL4636752,-7.1
FUS,CHEMBL4637301,-7.1
FUS,CHEMBL4638029,-7.1
FUS,CHEMBL4638367,-7.1
FUS,CHEMBL4638981,-7.1
FUS,CHEMBL4639349,-7.1
FUS,CHEMBL464861,-7.1
FUS,CHEMBL46502,-7.1
FUS,CHEMBL47376,-7.1
FUS,CHEMBL497026,-7.1
FUS,CHEMBL49704,-7.1
FUS,CHEMBL497763,-7.1
FUS,CHEMBL498013,-7.1
FUS,CHEMBL498166,-7.1
FUS,CHEMBL498269,-7.1
FUS,CHEMBL499202,-7.1
FUS,CHEMBL499555,-7.1
FUS,CHEMBL500755,-7.1
FUS,CHEMBL501115,-7.1
FUS,CHEMBL502563,-7.1
FUS,CHEMBL503182,-7.1
FUS,CHEMBL503505,-7.1
FUS,CHEMBL503550,-7.1
FUS,CHEMBL503616,-7.1
FUS,CHEMBL503810,-7.1
FUS,CHEMBL505077,-7.1
FUS,CHEMBL1075666,-7.0
FUS,CHEMBL1076419,-7.0
FUS,CHEMBL1082437,-7.0
FUS,CHEMBL1091345,-7.0
FUS,CHEMBL11625,-7.0
FUS,CHEMBL1163251,-7.0
FUS,CHEMBL1163490,-7.0
FUS,CHEMBL1163491,-7.0
FUS,CHEMBL1206807,-7.0
FUS,CHEMBL1207524,-7.0
FUS,CHEMBL1208091,-7.0
FUS,CHEMBL1208131,-7.0
FUS,CHEMBL1208159,-7.0
FUS,CHEMBL1208793,-7.0
FUS,CHEMBL1210866,-7.0
FUS,CHEMBL1214058,-7.0
FUS,CHEMBL1215356,-7.0
FUS,CHEMBL1243200,-7.0
FUS,CHEMBL12510,-7.0
FUS,CHEMBL12814,-7.0
FUS,CHEMBL16215,-7.0
FUS,CHEMBL16871,-7.0
FUS,CHEMBL16958,-7.0
FUS,CHEMBL1751,-7.0
FUS,CHEMBL17731,-7.0
FUS,CHEMBL1795881,-7.0
FUS,CHEMBL1795886,-7.0
FUS,CHEMBL1796359,-7.0
FUS,CHEMBL21267,-7.0
FUS,CHEMBL22045,-7.0
FUS,CHEMBL22696,-7.0
FUS,CHEMBL23248,-7.0
FUS,CHEMBL25175,-7.0
FUS,CHEMBL25183,-7.0
FUS,CHEMBL25698,-7.0
FUS,CHEMBL26925,-7.0
FUS,CHEMBL26996,-7.0
FUS,CHEMBL27348,-7.0
FUS,CHEMBL27864,-7.0
FUS,CHEMBL29512,-7.0
FUS,CHEMBL30587,-7.0
FUS,CHEMBL32138,-7.0
FUS,CHEMBL32766,-7.0
FUS,CHEMBL3309403,-7.0
FUS,CHEMBL3309554,-7.0
FUS,CHEMBL3309556,-7.0
FUS,CHEMBL3309837,-7.0
FUS,CHEMBL3309840,-7.0
FUS,CHEMBL3309855,-7.0
FUS,CHEMBL3309961,-7.0
FUS,CHEMBL3309973,-7.0
FUS,CHEMBL3310566,-7.0
FUS,CHEMBL3310719,-7.0
FUS,CHEMBL3310720,-7.0
FUS,CHEMBL3310724,-7.0
FUS,CHEMBL3311112,-7.0
FUS,CHEMBL3311115,-7.0
FUS,CHEMBL3311117,-7.0
FUS,CHEMBL3311120,-7.0
FUS,CHEMBL33147,-7.0
FUS,CHEMBL34507,-7.0
FUS,CHEMBL35784,-7.0
FUS,CHEMBL37779,-7.0
FUS,CHEMBL4116108,-7.0
FUS,CHEMBL41824,-7.0
FUS,CHEMBL4300123,-7.0
FUS,CHEMBL44197,-7.0
FUS,CHEMBL4435143,-7.0
FUS,CHEMBL4435512,-7.0
FUS,CHEMBL4436265,-7.0
FUS,CHEMBL4436320,-7.0
FUS,CHEMBL4436402,-7.0
FUS,CHEMBL4436697,-7.0
FUS,CHEMBL4436736,-7.0
FUS,CHEMBL4436746,-7.0
FUS,CHEMBL44527,-7.0
FUS,CHEMBL4529938,-7.0
FUS,CHEMBL4530328,-7.0
FUS,CHEMBL4531084,-7.0
FUS,CHEMBL4532752,-7.0
FUS,CHEMBL4533684,-7.0
FUS,CHEMBL4533705,-7.0
FUS,CHEMBL4533735,-7.0
FUS,CHEMBL4533894,-7.0
FUS,CHEMBL4534528,-7.0
FUS,CHEMBL4543422,-7.0
FUS,CHEMBL4543505,-7.0
FUS,CHEMBL4543556,-7.0
FUS,CHEMBL4559987,-7.0
FUS,CHEMBL4562749,-7.0
FUS,CHEMBL4563272,-7.0
FUS,CHEMBL4564374,-7.0
FUS,CHEMBL4564485,-7.0
FUS,CHEMBL4564975,-7.0
FUS,CHEMBL4567997,-7.0
FUS,CHEMBL45683,-7.0
FUS,CHEMBL4568540,-7.0
FUS,CHEMBL4570332,-7.0
FUS,CHEMBL4570741,-7.0
FUS,CHEMBL4571049,-7.0
FUS,CHEMBL4572784,-7.0
FUS,CHEMBL4572786,-7.0
FUS,CHEMBL4573125,-7.0
FUS,CHEMBL4573292,-7.0
FUS,CHEMBL4573367,-7.0
FUS,CHEMBL4573532,-7.0
FUS,CHEMBL4573630,-7.0
FUS,CHEMBL4574116,-7.0
FUS,CHEMBL4580755,-7.0
FUS,CHEMBL4581079,-7.0
FUS,CHEMBL4581114,-7.0
FUS,CHEMBL4581197,-7.0
FUS,CHEMBL4581786,-7.0
FUS,CHEMBL4581890,-7.0
FUS,CHEMBL4581974,-7.0
FUS,CHEMBL4584933,-7.0
FUS,CHEMBL4585057,-7.0
FUS,CHEMBL4585282,-7.0
FUS,CHEMBL4634820,-7.0
FUS,CHEMBL4634972,-7.0
FUS,CHEMBL4635222,-7.0
FUS,CHEMBL4635242,-7.0
FUS,CHEMBL4635330,-7.0
FUS,CHEMBL4635846,-7.0
FUS,CHEMBL4636412,-7.0
FUS,CHEMBL4636431,-7.0
FUS,CHEMBL4636486,-7.0
FUS,CHEMBL4636727,-7.0
FUS,CHEMBL4637669,-7.0
FUS,CHEMBL4638112,-7.0
FUS,CHEMBL4638148,-7.0
FUS,CHEMBL4638560,-7.0
FUS,CHEMBL4638644,-7.0
FUS,CHEMBL4638775,-7.0
FUS,CHEMBL4638783,-7.0
FUS,CHEMBL4638914,-7.0
FUS,CHEMBL4639216,-7.0
FUS,CHEMBL46884,-7.0
FUS,CHEMBL47430,-7.0
FUS,CHEMBL47719,-7.0
FUS,CHEMBL48713,-7.0
FUS,CHEMBL49190,-7.0
FUS,CHEMBL497559,-7.0
FUS,CHEMBL497737,-7.0
FUS,CHEMBL498028,-7.0
FUS,CHEMBL498093,-7.0
FUS,CHEMBL499280,-7.0
FUS,CHEMBL499587,-7.0
FUS,CHEMBL500051,-7.0
FUS,CHEMBL500565,-7.0
FUS,CHEMBL500700,-7.0
FUS,CHEMBL500990,-7.0
FUS,CHEMBL501129,-7.0
FUS,CHEMBL501675,-7.0
FUS,CHEMBL501837,-7.0
FUS,CHEMBL501858,-7.0
FUS,CHEMBL50192,-7.0
FUS,CHEMBL501959,-7.0
FUS,CHEMBL502113,-7.0
FUS,CHEMBL502984,-7.0
FUS,CHEMBL503463,-7.0
FUS,CHEMBL503772,-7.0
FUS,CHEMBL503862,-7.0
FUS,CHEMBL504052,-7.0
FUS,BETAMETHASONE PHOSPHORIC ACID,-6.9
FUS,CHEMBL10456,-6.9
FUS,CHEMBL1076290,-6.9
FUS,CHEMBL1077107,-6.9
FUS,CHEMBL1079031,-6.9
FUS,CHEMBL1092041,-6.9
FUS,CHEMBL1159641,-6.9
FUS,CHEMBL1163346,-6.9
FUS,CHEMBL11725,-6.9
FUS,CHEMBL1206876,-6.9
FUS,CHEMBL1207005,-6.9
FUS,CHEMBL1207748,-6.9
FUS,CHEMBL1207829,-6.9
FUS,CHEMBL1207916,-6.9
FUS,CHEMBL1208280,-6.9
FUS,CHEMBL1208438,-6.9
FUS,CHEMBL1242575,-6.9
FUS,CHEMBL1242620,-6.9
FUS,CHEMBL13227,-6.9
FUS,CHEMBL13626,-6.9
FUS,CHEMBL14288,-6.9
FUS,CHEMBL1441967,-6.9
FUS,CHEMBL14666,-6.9
FUS,CHEMBL16239,-6.9
FUS,CHEMBL16888,-6.9
FUS,CHEMBL17589,-6.9
FUS,CHEMBL1795724,-6.9
FUS,CHEMBL1795854,-6.9
FUS,CHEMBL1795877,-6.9
FUS,CHEMBL1795878,-6.9
FUS,CHEMBL1795885,-6.9
FUS,CHEMBL1808126,-6.9
FUS,CHEMBL18097,-6.9
FUS,CHEMBL1859368,-6.9
FUS,CHEMBL1860112,-6.9
FUS,CHEMBL1864084,-6.9
FUS,CHEMBL1864613,-6.9
FUS,CHEMBL1865860,-6.9
FUS,CHEMBL18879,-6.9
FUS,CHEMBL19902,-6.9
FUS,CHEMBL20208,-6.9
FUS,CHEMBL20299,-6.9
FUS,CHEMBL20685,-6.9
FUS,CHEMBL20938,-6.9
FUS,CHEMBL23411,-6.9
FUS,CHEMBL23647,-6.9
FUS,CHEMBL25760,-6.9
FUS,CHEMBL26624,-6.9
FUS,CHEMBL26970,-6.9
FUS,CHEMBL27387,-6.9
FUS,CHEMBL28670,-6.9
FUS,CHEMBL28751,-6.9
FUS,CHEMBL29020,-6.9
FUS,CHEMBL29169,-6.9
FUS,CHEMBL31651,-6.9
FUS,CHEMBL32255,-6.9
FUS,CHEMBL32750,-6.9
FUS,CHEMBL3309408,-6.9
FUS,CHEMBL3309539,-6.9
FUS,CHEMBL3310215,-6.9
FUS,CHEMBL3310456,-6.9
FUS,CHEMBL3310688,-6.9
FUS,CHEMBL3310695,-6.9
FUS,CHEMBL3310717,-6.9
FUS,CHEMBL3310725,-6.9
FUS,CHEMBL3310921,-6.9
FUS,CHEMBL3311119,-6.9
FUS,CHEMBL3311122,-6.9
FUS,CHEMBL3311128,-6.9
FUS,CHEMBL3311247,-6.9
FUS,CHEMBL3311269,-6.9
FUS,CHEMBL3311452,-6.9
FUS,CHEMBL3315041,-6.9
FUS,CHEMBL3315069,-6.9
FUS,CHEMBL3315375,-6.9
FUS,CHEMBL33294,-6.9
FUS,CHEMBL33542,-6.9
FUS,CHEMBL33543,-6.9
FUS,CHEMBL33729,-6.9
FUS,CHEMBL34682,-6.9
FUS,CHEMBL34744,-6.9
FUS,CHEMBL34835,-6.9
FUS,CHEMBL35730,-6.9
FUS,CHEMBL35737,-6.9
FUS,CHEMBL38010,-6.9
FUS,CHEMBL38960,-6.9
FUS,CHEMBL39350,-6.9
FUS,CHEMBL40188,-6.9
FUS,CHEMBL40417,-6.9
FUS,CHEMBL41997,-6.9
FUS,CHEMBL42497,-6.9
FUS,CHEMBL42949,-6.9
FUS,CHEMBL43432,-6.9
FUS,CHEMBL43750,-6.9
FUS,CHEMBL44208,-6.9
FUS,CHEMBL44338,-6.9
FUS,CHEMBL4435086,-6.9
FUS,CHEMBL4435088,-6.9
FUS,CHEMBL4435160,-6.9
FUS,CHEMBL4435183,-6.9
FUS,CHEMBL4435296,-6.9
FUS,CHEMBL4435314,-6.9
FUS,CHEMBL4435914,-6.9
FUS,CHEMBL4435941,-6.9
FUS,CHEMBL4436010,-6.9
FUS,CHEMBL4436054,-6.9
FUS,CHEMBL4436129,-6.9
FUS,CHEMBL4436255,-6.9
FUS,CHEMBL4436301,-6.9
FUS,CHEMBL45143,-6.9
FUS,CHEMBL4529847,-6.9
FUS,CHEMBL4529961,-6.9
FUS,CHEMBL4530239,-6.9
FUS,CHEMBL4530474,-6.9
FUS,CHEMBL4530509,-6.9
FUS,CHEMBL4531832,-6.9
FUS,CHEMBL4531853,-6.9
FUS,CHEMBL4531945,-6.9
FUS,CHEMBL4532162,-6.9
FUS,CHEMBL4532390,-6.9
FUS,CHEMBL4532451,-6.9
FUS,CHEMBL4532470,-6.9
FUS,CHEMBL4533174,-6.9
FUS,CHEMBL4533577,-6.9
FUS,CHEMBL4533812,-6.9
FUS,CHEMBL4533998,-6.9
FUS,CHEMBL4543302,-6.9
FUS,CHEMBL4543353,-6.9
FUS,CHEMBL4553671,-6.9
FUS,CHEMBL4553700,-6.9
FUS,CHEMBL45572,-6.9
FUS,CHEMBL4560034,-6.9
FUS,CHEMBL4562703,-6.9
FUS,CHEMBL4564665,-6.9
FUS,CHEMBL4564783,-6.9
FUS,CHEMBL4564834,-6.9
FUS,CHEMBL4565048,-6.9
FUS,CHEMBL4565070,-6.9
FUS,CHEMBL4566257,-6.9
FUS,CHEMBL4566357,-6.9
FUS,CHEMBL4566589,-6.9
FUS,CHEMBL4567976,-6.9
FUS,CHEMBL4568272,-6.9
FUS,CHEMBL4568741,-6.9
FUS,CHEMBL4568872,-6.9
FUS,CHEMBL4569344,-6.9
FUS,CHEMBL4570803,-6.9
FUS,CHEMBL4571014,-6.9
FUS,CHEMBL4571314,-6.9
FUS,CHEMBL4571844,-6.9
FUS,CHEMBL4572007,-6.9
FUS,CHEMBL4572191,-6.9
FUS,CHEMBL4573505,-6.9
FUS,CHEMBL4574920,-6.9
FUS,CHEMBL4574953,-6.9
FUS,CHEMBL4575020,-6.9
FUS,CHEMBL4575080,-6.9
FUS,CHEMBL4575352,-6.9
FUS,CHEMBL4575603,-6.9
FUS,CHEMBL4580644,-6.9
FUS,CHEMBL4580671,-6.9
FUS,CHEMBL4580728,-6.9
FUS,CHEMBL4581008,-6.9
FUS,CHEMBL4581213,-6.9
FUS,CHEMBL4581336,-6.9
FUS,CHEMBL4584887,-6.9
FUS,CHEMBL4584949,-6.9
FUS,CHEMBL4584951,-6.9
FUS,CHEMBL4634723,-6.9
FUS,CHEMBL4634834,-6.9
FUS,CHEMBL4635162,-6.9
FUS,CHEMBL4635237,-6.9
FUS,CHEMBL4635738,-6.9
FUS,CHEMBL4635886,-6.9
FUS,CHEMBL4636373,-6.9
FUS,CHEMBL4636460,-6.9
FUS,CHEMBL4636666,-6.9
FUS,CHEMBL4636792,-6.9
FUS,CHEMBL4637015,-6.9
FUS,CHEMBL4637251,-6.9
