ligand,rol,affinity
DEC_CHEMBL1373755,decoy,-4.834
DEC_CHEMBL1879748,decoy,-4.834
DEC_CHEMBL1571416,decoy,-4.823
DEC_CHEMBL1524161,decoy,-4.815
DEC_CHEMBL1443628,decoy,-4.813
DEC_CHEMBL3213756,decoy,-4.807
DEC_CHEMBL2359671,decoy,-4.77
DEC_CHEMBL1468265,decoy,-4.738
DEC_CHEMBL1574931,decoy,-4.717
DEC_CHEMBL1879685,decoy,-4.68
DEC_CHEMBL1978331,decoy,-4.58
DEC_CHEMBL1730329,decoy,-4.517
DEC_CHEMBL1501518,decoy,-4.508
DEC_CHEMBL1900371,decoy,-4.41
DEC_Alpha-Lipoic_Acid,decoy,-4.286
DEC_CHEMBL3774966,decoy,-4.219
DEC_CHEMBL1879543,decoy,-4.071
DEC_CAPTOPRIL,decoy,-4.049
