ligand,papel,quimia,afinidad,pesados,puesto,residual
DECH_CHEMBL1507664,fondo,,-5.408,23,207,0.246
DECH_CHEMBL1530615,fondo,,-5.407,24,208,0.354
DEC_MOLIBRESIB,fondo,,-5.404,30,209,0.994
DEC_CHEMBL1435511,fondo,,-5.397,30,210,1.001
DEC_CHEMBL1570216,fondo,,-5.393,18,211,-0.27
DEC_CHEMBL1731670,fondo,,-5.392,31,212,1.113
DEC_CHEMBL1574978,fondo,,-5.391,18,213,-0.268
DEC_Tizanidine,fondo,,-5.39,18,214,-0.267
DEC_CHEMBL1900567,fondo,,-5.386,23,215,0.268
DECH_CHEMBL3311423,fondo,,-5.385,22,216,0.163
DECM_CHEMBL1118,fondo,,-5.378,19,217,-0.149
DECM_CHEMBL712,fondo,,-5.374,19,218,-0.145
DEC_CHEMBL2179266,fondo,,-5.373,20,219,-0.037
DECH_CHEMBL1602108,fondo,,-5.37,22,220,0.178
DEC_CHEMBL1730073,fondo,,-5.37,20,221,-0.034
DECM_CHEMBL3547132,fondo,,-5.369,15,222,-0.565
DEC_CHEMBL1468148,fondo,,-5.368,20,223,-0.032
DECH_CHEMBL3309763,fondo,,-5.365,21,224,0.077
DECM_CHEMBL3400972,fondo,,-5.362,15,225,-0.558
DEC_CHEMBL1092603,fondo,,-5.361,17,226,-0.344
DEC_CHEMBL1540430,fondo,,-5.361,17,227,-0.344
DECH_CHEMBL1540430,fondo,,-5.357,17,228,-0.34
DECM_CHEMBL856,fondo,,-5.349,16,229,-0.439
DEC_CHEMBL3189534,fondo,,-5.346,28,230,0.84
DEC_CHEMBL1509423,fondo,,-5.33,15,231,-0.526
DECH_CHEMBL1452696,fondo,,-5.326,24,232,0.435
DEC_CHEMBL1395044,fondo,,-5.316,22,233,0.232
DECH_CHEMBL1391531,fondo,,-5.314,22,234,0.234
DECM_CHEMBL1102,fondo,,-5.314,16,235,-0.404
DECH_CHEMBL1201348,fondo,,-5.312,21,236,0.13
DEC_CHEMBL1730329,fondo,,-5.311,15,237,-0.507
DEC_CHEMBL2356527,fondo,,-5.31,24,238,0.451
DEC_CHEMBL1970198,fondo,,-5.308,16,239,-0.398
DEC_CHEMBL1429107,fondo,,-5.299,18,240,-0.176
DEC_CHEMBL1875761,fondo,,-5.296,20,241,0.04
DEC_CHEMBL2136341,fondo,,-5.295,17,242,-0.278
DEC_CHEMBL1597290,fondo,,-5.292,24,243,0.469
DECM_CHEMBL741,fondo,,-5.289,16,244,-0.379
DEC_CHEMBL1896436,fondo,,-5.287,25,245,0.58
DECH_CHEMBL306700,fondo,,-5.282,17,246,-0.265
DECM_CHEMBL1441905,fondo,,-5.282,31,247,1.223
DEC_CHEMBL1939222,fondo,,-5.274,16,248,-0.364
DEC_CHEMBL1441905,fondo,,-5.269,31,249,1.236
DECH_CHEMBL1457,fondo,,-5.268,22,250,0.28
DECH_CHEMBL14370,fondo,,-5.267,23,251,0.387
DECM_CHEMBL1712280,fondo,,-5.267,19,252,-0.038
DEC_CHEMBL2086626,fondo,,-5.267,21,253,0.175
DEC_CHEMBL1373785,fondo,,-5.264,18,254,-0.141
DECH_CHEMBL1470097,fondo,,-5.263,19,255,-0.034
DECM_CHEMBL1177,fondo,,-5.256,13,256,-0.664
DEC_CHEMBL1343719,fondo,,-5.245,18,257,-0.122
DEC_CHEMBL1092384,fondo,,-5.242,16,258,-0.332
DECH_CHEMBL295124,fondo,,-5.24,25,259,0.627
DECH_CHEMBL3137326,fondo,,-5.24,29,260,1.052
DECH_CHEMBL1009,fondo,,-5.233,14,261,-0.535
DEC_CHEMBL1210791,fondo,,-5.232,23,262,0.422
DEC_CHEMBL1643541,fondo,,-5.231,15,263,-0.427
DEC_CHEMBL1536059,fondo,,-5.228,21,264,0.214
DEC_CHEMBL1592685,fondo,,-5.221,21,265,0.221
DECH_CHEMBL1865134,fondo,,-5.217,22,266,0.331
DEC_CHEMBL1402270,fondo,,-5.217,17,267,-0.2
DECM_CHEMBL925,fondo,,-5.216,13,268,-0.624
DEC_CHEMBL1879692,fondo,,-5.212,20,269,0.124
DECH_CHEMBL101,fondo,,-5.202,23,270,0.452
DEC_CHEMBL1900501,fondo,,-5.197,17,271,-0.18
DEC_CHEMBL2165612,fondo,,-5.194,15,272,-0.39
DECM_CHEMBL1372889,fondo,,-5.188,20,273,0.148
DECH_CHEMBL1983350,fondo,,-5.185,17,274,-0.168
DEC_CHEMBL1091584,fondo,,-5.184,17,275,-0.167
DECH_CHEMBL485,fondo,,-5.18,22,276,0.368
DEC_CHEMBL1322610,fondo,,-5.172,23,277,0.482
DEC_CHEMBL1389758,fondo,,-5.171,24,278,0.59
DECM_CHEMBL1440455,fondo,,-5.168,18,279,-0.045
DECH_CHEMBL1551968,fondo,,-5.163,24,280,0.598
DECM_CHEMBL218291,fondo,,-5.163,19,281,0.066
DECH_CHEMBL8488,fondo,,-5.162,23,282,0.492
DEC_Baclofen,fondo,,-5.161,14,283,-0.463
DECM_CHEMBL12856,fondo,,-5.158,14,284,-0.46
DECM_CHEMBL18116,fondo,,-5.157,15,285,-0.353
DEC_CHEMBL1597270,fondo,,-5.154,18,286,-0.031
DECM_CHEMBL1037,fondo,,-5.153,15,287,-0.349
DEC_CHEMBL1570226,fondo,,-5.149,26,288,0.824
DEC_CHEMBL3213140,fondo,,-5.147,18,289,-0.024
DECM_CHEMBL229128,fondo,,-5.146,13,290,-0.554
DEC_CHEMBL1712280,fondo,,-5.144,19,291,0.085
DEC_CHEMBL1092602,fondo,,-5.136,16,292,-0.226
DECH_CHEMBL105,fondo,,-5.134,24,293,0.627
DECH_CHEMBL1597201,fondo,,-5.131,19,294,0.098
DECH_CHEMBL849,fondo,,-5.128,17,295,-0.111
DECH_CHEMBL4594379,fondo,,-5.122,18,296,0.001
DECH_CHEMBL427216,fondo,,-5.119,22,297,0.429
DEC_CHEMBL1569875,fondo,,-5.116,17,298,-0.099
DEC_CHEMBL1491689,fondo,,-5.114,19,299,0.115
DEC_CHEMBL1730221,fondo,,-5.112,20,300,0.224
DEC_CHEMBL2359981,fondo,,-5.101,23,301,0.553
DEC_CHEMBL1539969,fondo,,-5.098,19,302,0.131
DECM_CHEMBL701,fondo,,-5.095,14,303,-0.397
DEC_CHEMBL1413075,fondo,,-5.094,17,304,-0.077
DECH_CHEMBL1570373,fondo,,-5.092,21,305,0.35
DEC_CHEMBL1486052,fondo,,-5.087,15,306,-0.283
DEC_Escitalopram,fondo,,-5.086,24,307,0.675
DECM_CHEMBL750,fondo,,-5.083,14,308,-0.385
DEC_CHEMBL1443628,fondo,,-5.081,17,309,-0.064
DECM_CHEMBL762,fondo,,-5.08,19,310,0.149
DECH_CHEMBL503634,fondo,,-5.078,21,311,0.364
DECH_CHEMBL1201117,fondo,,-5.074,17,312,-0.057
DECM_CHEMBL1305,fondo,,-5.068,20,313,0.268
DECM_CHEMBL1377,fondo,,-5.068,17,314,-0.051
DEC_CHEMBL1343679,fondo,,-5.068,20,315,0.268
DECH_CHEMBL1457583,fondo,,-5.057,24,316,0.704
DECH_CHEMBL1728200,fondo,,-5.055,20,317,0.281
DEC_CHEMBL3193932,fondo,,-5.044,24,318,0.717
DEC_CHEMBL1413381,fondo,,-5.042,20,319,0.294
DECH_CHEMBL953,fondo,,-5.035,22,320,0.513
DECM_CHEMBL1728134,fondo,,-5.033,18,321,0.09
DECM_CHEMBL1509423,fondo,,-5.032,15,322,-0.228
DEC_CHEMBL1440455,fondo,,-5.031,18,323,0.092
DEC_Arimoclomol,fondo,,-5.026,17,324,-0.009
DEC_CHEMBL1728134,fondo,,-5.026,18,325,0.097
DECH_CHEMBL659,fondo,,-5.02,21,326,0.422
DEC_CHEMBL1595503,fondo,,-5.018,23,327,0.636
DEC_CHEMBL1372889,fondo,,-5.013,20,328,0.323
DECH_CHEMBL1524140,fondo,,-5.012,20,329,0.324
DEC_CHEMBL1558218,fondo,,-5.012,18,330,0.111
DECM_CHEMBL918,fondo,,-5.006,13,331,-0.414
DEC_CHEMBL1409776,fondo,,-5.006,16,332,-0.096
DEC_CHEMBL1879748,fondo,,-5.006,15,333,-0.202
DECH_CHEMBL94394,fondo,,-4.998,16,334,-0.088
DECM_CHEMBL1237044,fondo,,-4.997,19,335,0.232
DEC_CHEMBL1541085,fondo,,-4.996,24,336,0.765
DEC_CHEMBL1390652,fondo,,-4.989,15,337,-0.185
DECH_CHEMBL1208,fondo,,-4.985,19,338,0.244
DEC_CHEMBL2165602,fondo,,-4.985,17,339,0.032
DEC_CHEMBL1091583,fondo,,-4.977,16,340,-0.067
DEC_CHEMBL1527656,fondo,,-4.976,16,341,-0.066
DECH_CHEMBL2103827,fondo,,-4.971,15,342,-0.167
DECH_CHEMBL1201766,fondo,,-4.969,19,343,0.26
DEC_CHEMBL1969867,fondo,,-4.966,18,344,0.157
quinazolina_12I,positivo,quinazolina,-4.961,17,345,0.056
DEC_CHEMBL1470785,fondo,,-4.961,16,346,-0.051
DECM_CHEMBL1574931,fondo,,-4.954,20,347,0.382
DECH_CHEMBL117785,fondo,,-4.953,23,348,0.701
DEC_CHEMBL1468265,fondo,,-4.953,15,349,-0.149
DECH_CHEMBL1485521,fondo,,-4.951,23,350,0.703
DECH_CHEMBL319144,fondo,,-4.946,20,351,0.39
DEC_CHEMBL1446677,fondo,,-4.944,19,352,0.285
DEC_CHEMBL1570375,fondo,,-4.937,16,353,-0.027
DECM_CHEMBL760,fondo,,-4.928,16,354,-0.018
DECM_CHEMBL770,fondo,,-4.924,12,355,-0.439
DECH_CHEMBL98,fondo,,-4.922,19,356,0.307
DECM_CHEMBL1969867,fondo,,-4.916,18,357,0.207
DECH_CHEMBL22,fondo,,-4.907,21,358,0.535
DECH_CHEMBL1228,fondo,,-4.904,24,359,0.857
DECM_CHEMBL1879748,fondo,,-4.904,15,360,-0.1
DECM_CHEMBL1571416,fondo,,-4.895,18,361,0.228
DEC_CHEMBL1373755,fondo,,-4.894,15,362,-0.09
DECM_CHEMBL188952,fondo,,-4.874,17,363,0.143
DEC_CHEMBL1429958,fondo,,-4.869,17,364,0.148
DECH_CHEMBL4298137,fondo,,-4.858,18,365,0.265
5-fluorouridina,positivo,nucleosido,-4.85,18,366,0.273
DEC_CHEMBL1563897,fondo,,-4.847,20,367,0.489
DEC_CHEMBL1256364,fondo,,-4.846,15,368,-0.042
DECM_CHEMBL7863,fondo,,-4.839,15,369,-0.035
DECM_CHEMBL1752,fondo,,-4.835,18,370,0.288
DECH_CHEMBL1201236,fondo,,-4.833,16,371,0.077
DECH_CHEMBL93,fondo,,-4.829,16,372,0.081
DEC_CHEMBL1574931,fondo,,-4.825,20,373,0.511
DECH_CHEMBL1409776,fondo,,-4.82,16,374,0.09
DEC_CHEMBL1579933,fondo,,-4.818,13,375,-0.226
DEC_CHEMBL1334295,fondo,,-4.814,16,376,0.096
DECM_CHEMBL3213756,fondo,,-4.813,15,377,-0.009
diazepanoquinazolina_4MQ,positivo,quinazolina,-4.812,18,378,0.311
DEC_Melatonin,fondo,,-4.808,17,379,0.209
DECM_CHEMBL1446677,fondo,,-4.805,19,380,0.424
DECM_CHEMBL459,fondo,,-4.798,15,381,0.006
DEC_CHEMBL1429852,fondo,,-4.786,18,382,0.337
DECH_CHEMBL1563897,fondo,,-4.768,20,383,0.568
DECM_CHEMBL1468265,fondo,,-4.766,15,384,0.038
DEC_CHEMBL3213756,fondo,,-4.764,15,385,0.04
DEC_Gabapentin,fondo,,-4.754,18,386,0.369
DECM_CHEMBL524,fondo,,-4.738,15,387,0.066
DECH_CHEMBL1536068,fondo,,-4.737,21,388,0.705
DEC_CHEMBL1571416,fondo,,-4.736,18,389,0.387
DECH_CHEMBL980,fondo,,-4.735,14,390,-0.037
DEC_CHEMBL1708757,fondo,,-4.727,19,391,0.502
DEC_Riluzole,fondo,,-4.72,15,392,0.084
DECH_CHEMBL923,fondo,,-4.717,17,393,0.3
DECM_CHEMBL1738,fondo,,-4.701,19,394,0.528
DECM_CHEMBL276832,fondo,,-4.696,12,395,-0.211
DEC_CHEMBL1579274,fondo,,-4.696,17,396,0.321
DECH_CHEMBL677,fondo,,-4.685,13,397,-0.093
DECM_CHEMBL1201260,fondo,,-4.683,13,398,-0.091
DECM_CHEMBL2105420,fondo,,-4.682,17,399,0.335
DEC_CHEMBL1978331,fondo,,-4.679,17,400,0.338
DECM_CHEMBL1232131,fondo,,-4.678,12,401,-0.193
DECM_CHEMBL449,fondo,,-4.676,15,402,0.128
DECH_CHEMBL1978331,fondo,,-4.675,17,403,0.342
DEC_CHEMBL1461527,fondo,,-4.666,16,404,0.244
DEC_Ezogabine,fondo,,-4.663,17,405,0.354
DECH_CHEMBL2105345,fondo,,-4.658,24,406,1.103
DECH_CHEMBL152,fondo,,-4.657,18,407,0.466
DECH_CHEMBL1689063,fondo,,-4.652,17,408,0.365
DECM_CHEMBL92401,fondo,,-4.648,13,409,-0.056
DECH_CHEMBL461522,fondo,,-4.643,21,410,0.799
DEC_CHEMBL1524161,fondo,,-4.641,20,411,0.695
isoproterenol,positivo,catecolamina,-4.636,15,412,0.168
DECM_CHEMBL25,fondo,,-4.619,13,413,-0.027
DECM_CHEMBL17860,fondo,,-4.618,16,414,0.292
DEC_CHEMBL1344270,fondo,,-4.606,19,415,0.623
DECM_CHEMBL704,fondo,,-4.6,11,416,-0.221
DECH_CHEMBL1201233,fondo,,-4.593,17,417,0.424
DECM_CHEMBL444,fondo,,-4.576,13,418,0.016
DECH_CHEMBL679,fondo,,-4.575,13,419,0.017
DECM_CHEMBL61006,fondo,,-4.56,11,420,-0.181
adrenalina,positivo,catecolamina,-4.555,13,421,0.037
dopamina,positivo,catecolamina,-4.553,11,422,-0.174
DECM_CHEMBL108545,fondo,,-4.551,11,423,-0.172
DEC_CHEMBL1401914,fondo,,-4.55,18,424,0.573
DECM_CHEMBL289480,fondo,,-4.546,13,425,0.046
DEC_CHEMBL2359671,fondo,,-4.546,15,426,0.258
DECM_CHEMBL1414576,fondo,,-4.545,18,427,0.578
DECM_CHEMBL1483,fondo,,-4.539,18,428,0.584
DEC_CHEMBL1414576,fondo,,-4.527,18,429,0.596
DEC_Thiamine,fondo,,-4.522,18,430,0.601
DECH_CHEMBL1350,fondo,,-4.517,17,431,0.5
DECM_CHEMBL301265,fondo,,-4.512,14,432,0.186
