ligand,rol,vina,recall,jaccard,coseno,n_contactos
DECM_CHEMBL498847,decoy,-4.103,0.3866,0.3407,0.5355,62
DECM_CHEMBL741,decoy,-5.289,0.3866,0.3007,0.4715,80
DECM_CHEMBL770,decoy,-4.924,0.3866,0.3459,0.5444,60
DECM_CHEMBL898,decoy,-5.777,0.3866,0.3172,0.497,72
DECM_CHEMBL965,decoy,-3.526,0.3866,0.3217,0.504,70
DEC_CHEMBL1092604,decoy,-5.474,0.3866,0.3087,0.4837,76
DEC_CHEMBL124937,decoy,-6.577,0.3866,0.3194,0.5004,71
DEC_CHEMBL1429107,decoy,-5.299,0.3866,0.3538,0.5585,57
DEC_CHEMBL1524176,decoy,-5.415,0.3866,0.3217,0.504,70
DEC_CHEMBL1570375,decoy,-4.937,0.3866,0.3594,0.5686,55
DEC_CHEMBL1608506,decoy,-5.453,0.3866,0.3511,0.5537,58
DEC_Ezogabine,decoy,-4.663,0.3866,0.3262,0.5114,68
DEC_Genistein,decoy,-5.691,0.3866,0.3194,0.5004,71
ACT_CHEMBL2165609,activo,-5.943,0.3782,0.2922,0.4612,80
ACT_cf3quinazolina_ZO0,activo,-5.533,0.3782,0.3358,0.5326,60
DECH_CHEMBL1201345,decoy,-3.86,0.3782,0.3191,0.504,67
DECH_CHEMBL14370,decoy,-5.267,0.3782,0.3659,0.5893,49
DECH_CHEMBL1437579,decoy,-5.533,0.3782,0.3191,0.504,67
DECH_CHEMBL152,decoy,-4.657,0.3782,0.2885,0.4555,82
DECH_CHEMBL1540525,decoy,-6.544,0.3782,0.3,0.4732,76
DECH_CHEMBL8960,decoy,-5.471,0.3782,0.3041,0.4795,74
DECM_CHEMBL119423,decoy,-3.702,0.3782,0.3409,0.5417,58
DECM_CHEMBL1201260,decoy,-4.683,0.3782,0.3435,0.5464,57
DECM_CHEMBL1304181,decoy,-6.177,0.3782,0.3309,0.5239,62
DECM_CHEMBL188952,decoy,-4.874,0.3782,0.3237,0.5117,65
DECM_CHEMBL267400,decoy,-6.202,0.3782,0.3516,0.5614,54
DECM_CHEMBL301265,decoy,-4.512,0.3782,0.298,0.4701,77
DECM_CHEMBL7946,decoy,-5.984,0.3782,0.3516,0.5614,54
DEC_Alpha-Lipoic_Acid,decoy,-4.045,0.3782,0.3169,0.5002,68
DEC_CHEMBL1354314,decoy,-5.619,0.3782,0.3237,0.5117,65
DEC_CHEMBL1373785,decoy,-5.264,0.3782,0.3358,0.5326,60
DEC_CHEMBL1430765,decoy,-5.52,0.3782,0.3358,0.5326,60
DEC_CHEMBL1437579,decoy,-5.541,0.3782,0.302,0.4763,75
DEC_CHEMBL1440455,decoy,-5.031,0.3782,0.3383,0.537,59
DEC_CHEMBL1486052,decoy,-5.087,0.3782,0.3261,0.5156,64
DEC_CHEMBL1501518,decoy,-4.303,0.3782,0.3103,0.4896,71
DEC_CHEMBL1524161,decoy,-4.641,0.3782,0.3285,0.5197,63
DEC_CHEMBL1528023,decoy,-6.535,0.3782,0.36,0.5776,51
DEC_CHEMBL1563897,decoy,-4.847,0.3782,0.3285,0.5197,63
DEC_CHEMBL1570216,decoy,-5.393,0.3782,0.3,0.4732,76
DEC_CHEMBL1587018,decoy,-6.258,0.3782,0.3082,0.4862,72
DEC_CHEMBL1732294,decoy,-6.115,0.3782,0.3169,0.5002,68
DEC_CHEMBL1896241,decoy,-5.977,0.3782,0.2961,0.4671,78
DEC_CHEMBL2359981,decoy,-5.101,0.3782,0.3261,0.5156,64
DEC_CHEMBL3214262,decoy,-6.262,0.3782,0.3435,0.5464,57
ACT_Lig9_6B3,activo,-6.334,0.3697,0.3385,0.5439,55
DECH_CHEMBL1978331,decoy,-4.675,0.3697,0.3438,0.554,53
DECH_CHEMBL4298137,decoy,-4.858,0.3697,0.3143,0.5003,65
DECM_CHEMBL112,decoy,-4.403,0.3697,0.3385,0.5439,55
DECM_CHEMBL1201293,decoy,-4.061,0.3697,0.3212,0.5123,62
DECM_CHEMBL1440455,decoy,-5.168,0.3697,0.3308,0.5296,58
DECM_CHEMBL15139,decoy,-6.289,0.3697,0.2699,0.43,88
DECM_CHEMBL27275,decoy,-5.834,0.3697,0.275,0.4375,85
DECM_CHEMBL28286,decoy,-5.793,0.3697,0.3077,0.4891,68
DECM_CHEMBL584766,decoy,-6.769,0.3697,0.2973,0.4721,73
DECM_CHEMBL7969,decoy,-6.22,0.3697,0.3308,0.5296,58
DECM_CHEMBL877,decoy,-4.241,0.3697,0.2914,0.4627,76
DEC_Arimoclomol,decoy,-5.026,0.3697,0.3121,0.4965,66
DEC_CHEMBL1256364,decoy,-4.846,0.3697,0.3333,0.5342,57
DEC_CHEMBL1304181,decoy,-5.911,0.3697,0.3284,0.5251,59
DEC_CHEMBL1322610,decoy,-5.172,0.3697,0.3099,0.4928,67
DEC_CHEMBL1395044,decoy,-5.316,0.3697,0.3411,0.5489,54
DEC_CHEMBL1413075,decoy,-5.094,0.3697,0.3411,0.5489,54
DEC_CHEMBL1491587,decoy,-6.525,0.3697,0.3235,0.5164,61
DEC_CHEMBL1574978,decoy,-5.391,0.3697,0.3077,0.4891,68
DEC_CHEMBL1731670,decoy,-5.392,0.3697,0.3411,0.5489,54
DEC_Gabapentin,decoy,-4.754,0.3697,0.2699,0.43,88
DEC_IPRIFLAVONE,decoy,-6.01,0.3697,0.3143,0.5003,65
DECH_CHEMBL1530615,decoy,-5.407,0.3613,0.3071,0.4927,64
DECH_CHEMBL1536068,decoy,-4.737,0.3613,0.3468,0.569,48
DECH_CHEMBL313972,decoy,-5.925,0.3613,0.2376,0.3847,105
DECH_CHEMBL427216,decoy,-5.119,0.3613,0.3468,0.569,48
DECH_CHEMBL870,decoy,-3.799,0.3613,0.3071,0.4927,64
DECM_CHEMBL108545,decoy,-4.551,0.3613,0.3308,0.5364,54
DECM_CHEMBL1232131,decoy,-4.678,0.3613,0.2886,0.4614,73
DECM_CHEMBL1483,decoy,-4.539,0.3613,0.2905,0.4645,72
DECM_CHEMBL1712280,decoy,-5.267,0.3613,0.3359,0.5466,52
DECM_CHEMBL1728134,decoy,-5.033,0.3613,0.2966,0.4745,69
DECM_CHEMBL21042,decoy,-5.696,0.3613,0.3413,0.5575,50
DECM_CHEMBL229128,decoy,-5.146,0.3613,0.2986,0.478,68
DEC_CHEMBL1092603,decoy,-5.361,0.3613,0.3071,0.4927,64
DEC_CHEMBL1309718,decoy,-5.848,0.3613,0.344,0.5631,49
DEC_CHEMBL1390652,decoy,-4.989,0.3613,0.3116,0.5006,62
DEC_CHEMBL1475748,decoy,-6.41,0.3613,0.3007,0.4816,67
DEC_CHEMBL1509423,decoy,-5.33,0.3613,0.3116,0.5006,62
DEC_CHEMBL1541085,decoy,-4.996,0.3613,0.3258,0.5267,56
DEC_CHEMBL1602108,decoy,-5.762,0.3613,0.3071,0.4927,64
