ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1570913,decoy,-5.094,0.2471,0.1909,0.3358,46
DEC_CHEMBL1468265,decoy,-5.088,0.2471,0.2039,0.3647,39
DEC_CHEMBL1092603,decoy,-5.054,0.2471,0.1842,0.3221,50
DEC_CHEMBL1476890,decoy,-5.038,0.2471,0.1981,0.3515,42
DEC_CHEMBL1372889,decoy,-5.006,0.2471,0.21,0.3796,36
DEC_CHEMBL1343679,decoy,-4.987,0.2471,0.21,0.3796,36
DEC_CHEMBL1373785,decoy,-4.604,0.2471,0.2143,0.3906,34
DEC_CHEMBL1978331,decoy,-4.323,0.2471,0.21,0.3796,36
DEC_CHEMBL2143380,decoy,-5.841,0.2353,0.1667,0.2925,55
DEC_CHEMBL1304181,decoy,-5.386,0.2353,0.1852,0.3308,43
DEC_CHEMBL1461506,decoy,-5.358,0.2353,0.2041,0.3776,33
DEC_CHEMBL1343719,decoy,-5.251,0.2353,0.1667,0.2925,55
DEC_CHEMBL1608506,decoy,-5.003,0.2353,0.2105,0.3961,30
DEC_CHEMBL1437579,decoy,-4.924,0.2353,0.1905,0.343,40
DEC_CHEMBL1414576,decoy,-4.891,0.2353,0.1942,0.3519,38
DEC_CHEMBL1574931,decoy,-4.877,0.2353,0.2041,0.3776,33
DEC_CHEMBL1571416,decoy,-4.381,0.2353,0.1923,0.3474,39
DEC_CHEMBL2359671,decoy,-4.334,0.2353,0.2041,0.3776,33
DEC_CHEMBL1491689,decoy,-5.428,0.2235,0.2021,0.3895,28
DEC_CHEMBL1390652,decoy,-5.391,0.2235,0.1508,0.2661,60
DEC_CHEMBL1430765,decoy,-5.078,0.2235,0.181,0.33,39
DEC_CHEMBL1092604,decoy,-5.048,0.2235,0.1624,0.2886,51
DEC_CHEMBL1446677,decoy,-4.973,0.2235,0.181,0.33,39
DEC_CHEMBL1334295,decoy,-4.967,0.2235,0.1743,0.3143,43
DEC_CHEMBL1541085,decoy,-4.608,0.2235,0.1939,0.3643,32
ACT_CHEMBL2165602,activo,-5.783,0.2118,0.1782,0.3348,34
DEC_CHEMBL1575024,decoy,-5.739,0.2118,0.1593,0.2879,46
DEC_Tizanidine,decoy,-5.253,0.2118,0.1714,0.3167,38
DEC_CHEMBL1390550,decoy,-5.014,0.2118,0.1682,0.3087,40
DEC_CHEMBL1879748,decoy,-4.883,0.2118,0.1782,0.3348,34
DEC_CHEMBL1728134,decoy,-4.447,0.2118,0.1682,0.3087,40
ACT_CHEMBL2165609,activo,-6.11,0.2,0.125,0.2236,68
DEC_CHEMBL1510247,decoy,-5.743,0.2,0.1753,0.3424,29
DEC_CHEMBL1900567,decoy,-5.396,0.2,0.1545,0.2845,42
