ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL3193932,decoy,-4.98,0.0769,0.1086,0.0578,46
DEC_Escitalopram,decoy,-4.967,0.0769,0.0805,0.0693,32
DEC_CHEMBL1429107,decoy,-4.935,0.0769,0.097,0.0591,44
DEC_CHEMBL1429958,decoy,-4.915,0.0769,0.0933,0.0598,43
DEC_CHEMBL1344270,decoy,-4.754,0.0769,0.1011,0.0591,44
DEC_CHEMBL1539969,decoy,-4.744,0.0769,0.0749,0.0645,37
DEC_CHEMBL1969867,decoy,-4.736,0.0769,0.1577,0.0549,51
DEC_CHEMBL1879685,decoy,-4.566,0.0769,0.0824,0.0628,39
DEC_CAPTOPRIL,decoy,-4.427,0.0769,0.0981,0.0613,41
DEC_CHEMBL1900371,decoy,-4.128,0.0769,0.0802,0.0683,33
DEC_CHEMBL1554159,decoy,-9.627,0.0385,0.0866,0.0385,26
ACT_CHEMBL2165614,activo,-6.419,0.0385,0.12,0.0292,45
DEC_CHEMBL1330118,decoy,-6.369,0.0385,0.1318,0.0303,42
DEC_CHEMBL1900310,decoy,-6.277,0.0385,0.1407,0.0277,50
ACT_CHEMBL2165609,activo,-6.11,0.0385,0.236,0.0238,68
DEC_CHEMBL1595503,decoy,-6.034,0.0385,0.1069,0.031,40
DEC_Quercetin,decoy,-5.955,0.0385,0.1693,0.0286,47
DEC_Luteolin,decoy,-5.928,0.0385,0.207,0.0255,59
DEC_CHEMBL1441905,decoy,-5.879,0.0385,0.0752,0.0327,36
DEC_CHEMBL1602967,decoy,-5.851,0.0385,0.1167,0.0322,37
DEC_CHEMBL1309718,decoy,-5.764,0.0385,0.1737,0.0267,54
DEC_CHEMBL1510247,decoy,-5.743,0.0385,0.0984,0.0364,29
DEC_CHEMBL1383019,decoy,-5.727,0.0385,0.1206,0.0318,38
DEC_CHEMBL1900501,decoy,-5.722,0.0385,0.1772,0.028,49
DEC_CHEMBL272808,decoy,-5.694,0.0385,0.1051,0.0336,34
ACT_CHEMBL1643557,activo,-5.689,0.0385,0.204,0.0272,52
DEC_ONONETIN,decoy,-5.645,0.0385,0.1929,0.0269,53
DEC_CHEMBL1731606,decoy,-5.633,0.0385,0.1569,0.0292,45
DEC_CHEMBL1321608,decoy,-5.605,0.0385,0.1284,0.031,40
DEC_Apigenin,decoy,-5.571,0.0385,0.1937,0.0272,52
DEC_Baicalein,decoy,-5.567,0.0385,0.1929,0.0269,53
DEC_CHEMBL1413381,decoy,-5.567,0.0385,0.2054,0.0251,61
ACT_CHEMBL1643556,activo,-5.557,0.0385,0.128,0.0322,37
DEC_CHEMBL2142154,decoy,-5.503,0.0385,0.1486,0.024,67
DEC_CHEMBL1091584,decoy,-5.498,0.0385,0.2188,0.0249,62
DEC_KAEMPFEROL,decoy,-5.471,0.0385,0.1654,0.0289,46
DEC_CHEMBL3194612,decoy,-5.44,0.0385,0.17,0.0289,46
DEC_CHEMBL1491689,decoy,-5.428,0.0385,0.0902,0.0371,28
DEC_CHEMBL1531633,decoy,-5.419,0.0385,0.1149,0.0306,41
DEC_CHEMBL1602108,decoy,-5.419,0.0385,0.1225,0.0336,34
DEC_CHEMBL1346563,decoy,-5.415,0.0385,0.1146,0.0347,32
DEC_CHEMBL1390652,decoy,-5.391,0.0385,0.2062,0.0253,60
DEC_CHEMBL1579933,decoy,-5.37,0.0385,0.1628,0.0277,50
DEC_MOLIBRESIB,decoy,-5.363,0.0385,0.1523,0.0292,45
DEC_CHEMBL1970198,decoy,-5.329,0.0385,0.1833,0.0286,47
DEC_CHEMBL1579274,decoy,-5.322,0.0385,0.156,0.0314,39
DEC_CHEMBL1343719,decoy,-5.251,0.0385,0.2008,0.0264,55
DEC_CHEMBL1896436,decoy,-5.235,0.0385,0.1439,0.0272,52
DEC_CHEMBL1939222,decoy,-5.225,0.0385,0.1623,0.0258,58
ACT_CHEMBL1939222,activo,-5.216,0.0385,0.204,0.0275,51
DEC_Genistein,decoy,-5.213,0.0385,0.1797,0.0272,52
DEC_CHEMBL1437517,decoy,-5.161,0.0385,0.1523,0.0292,45
DEC_CHEMBL1413075,decoy,-5.141,0.0385,0.1693,0.0286,47
DEC_CHEMBL1474627,decoy,-5.125,0.0385,0.149,0.0299,43
DEC_CHEMBL1468265,decoy,-5.088,0.0385,0.1245,0.0314,39
DEC_Baclofen,decoy,-5.085,0.0385,0.1905,0.0277,50
DEC_CHEMBL1092603,decoy,-5.054,0.0385,0.1952,0.0277,50
DEC_CHEMBL1092604,decoy,-5.048,0.0385,0.1944,0.0275,51
DEC_CHEMBL1558218,decoy,-5.047,0.0385,0.1071,0.0364,29
DEC_CHEMBL1372889,decoy,-5.006,0.0385,0.1128,0.0327,36
DEC_CHEMBL1608506,decoy,-5.003,0.0385,0.1067,0.0358,30
DEC_CHEMBL1730221,decoy,-4.965,0.0385,0.1181,0.0336,34
DEC_CHEMBL1429852,decoy,-4.933,0.0385,0.1012,0.0341,33
DEC_CHEMBL1437579,decoy,-4.924,0.0385,0.1508,0.031,40
DEC_Ezogabine,decoy,-4.91,0.0385,0.1984,0.0258,58
DEC_Thiamine,decoy,-4.869,0.0385,0.1868,0.0264,55
DEC_CHEMBL1435511,decoy,-4.842,0.0385,0.1124,0.0286,47
DEC_CHEMBL267400,decoy,-4.738,0.0385,0.1028,0.0364,29
DEC_CHEMBL1443628,decoy,-4.735,0.0385,0.1417,0.031,40
DEC_CHEMBL1509423,decoy,-4.683,0.0385,0.189,0.0272,52
DEC_CHEMBL1896241,decoy,-4.682,0.0385,0.1562,0.0289,46
DEC_Riluzole,decoy,-4.569,0.0385,0.2047,0.0262,56
DEC_Pramipexole,decoy,-4.407,0.0385,0.1858,0.0277,50
DEC_CHEMBL2359671,decoy,-4.334,0.0385,0.1275,0.0341,33
DEC_Alpha-Lipoic_Acid,decoy,-4.1,0.0385,0.1779,0.0283,48
DEC_CHEMBL3774966,decoy,-3.694,0.0385,0.1627,0.0299,43
ACT_PRG-A01,activo,-6.196,0.0,0.136,0.0,54
DEC_CHEMBL1343668,decoy,-5.431,0.0,0.2008,0.0,61
DEC_Lamotrigine,decoy,-5.408,0.0,0.0478,0.0,57
DEC_CHEMBL1091583,decoy,-4.99,0.0,0.1654,0.0,46
DEC_CHEMBL1569875,decoy,-4.718,0.0,0.1556,0.0,47
