ligand,grupo,actual_afinidad,actual_apila_por_atomo,actual_apilamiento,actual_arn_por_atomo,actual_atomos,actual_contactos,actual_contactos_arn,actual_contactos_por_atomo,actual_interaccion,actual_interaccion_por_atomo,actual_puentes,arn_afinidad,arn_apila_por_atomo,arn_apilamiento,arn_arn_por_atomo,arn_atomos,arn_contactos,arn_contactos_arn,arn_contactos_por_atomo,arn_interaccion,arn_interaccion_por_atomo,arn_puentes
CHEMBL4300126,fondo,-7.0,1.206896551724138,35,5.275862068965517,29,172,153,5.931034482758621,40,1.3793103448275863,5,-6.5,0.6551724137931034,19,5.206896551724138,29,165,151,5.689655172413793,24,0.8275862068965517,5
CHEMBL498296,fondo,-6.5,1.0384615384615385,27,5.153846153846154,26,144,134,5.538461538461538,30,1.1538461538461537,3,-7.0,0.8846153846153846,23,4.6923076923076925,26,132,122,5.076923076923077,27,1.0384615384615385,4
CHEMBL41982,fondo,-8.8,1.0277777777777777,37,4.805555555555555,36,177,173,4.916666666666667,37,1.0277777777777777,0,-9.1,1.6666666666666667,60,4.25,36,158,153,4.388888888888889,60,1.6666666666666667,0
CHEMBL558734,fondo,-4.3,0.12903225806451613,8,0.0,62,121,0,1.9516129032258065,10,0.16129032258064516,2,-5.7,0.9193548387096774,57,3.532258064516129,62,224,219,3.6129032258064515,59,0.9516129032258065,2
CHEMBL1858983,fondo,-9.4,1.4827586206896552,43,6.0344827586206895,29,187,175,6.448275862068965,43,1.4827586206896552,0,-10.8,2.5517241379310347,74,6.413793103448276,29,195,186,6.724137931034483,74,2.5517241379310347,0
CHEMBL505744,fondo,-6.7,1.4736842105263157,28,5.7368421052631575,19,122,109,6.421052631578948,32,1.6842105263157894,4,-7.1,1.7894736842105263,34,6.105263157894737,19,128,116,6.7368421052631575,37,1.9473684210526316,3
CHEMBL4637991,fondo,-6.7,0.6944444444444444,25,4.611111111111111,36,171,166,4.75,28,0.7777777777777778,3,-6.9,0.6944444444444444,25,4.444444444444445,36,161,160,4.472222222222222,29,0.8055555555555556,4
CHEMBL1210672,fondo,-8.5,0.7428571428571429,26,4.8,35,185,168,5.285714285714286,26,0.7428571428571429,0,-9.1,0.7428571428571429,26,5.542857142857143,35,203,194,5.8,27,0.7714285714285715,1
CHEMBL1858106,fondo,-7.2,1.0,24,4.833333333333333,24,125,116,5.208333333333333,25,1.0416666666666667,1,-8.0,1.0416666666666667,25,5.416666666666667,24,136,130,5.666666666666667,25,1.0416666666666667,0
CHEMBL14066,fondo,-6.9,0.25806451612903225,8,0.0,31,117,0,3.774193548387097,9,0.2903225806451613,1,-7.5,0.7419354838709677,23,5.451612903225806,31,173,169,5.580645161290323,24,0.7741935483870968,1
CHEMBL37682,fondo,-7.9,2.0555555555555554,37,6.166666666666667,18,112,111,6.222222222222222,39,2.1666666666666665,2,-7.9,2.111111111111111,38,6.111111111111111,18,111,110,6.166666666666667,40,2.2222222222222223,2
CHEMBL1206865,fondo,-4.8,0.0,0,0.0,18,82,0,4.555555555555555,10,0.5555555555555556,10,-5.1,0.0,0,7.0,18,128,126,7.111111111111111,3,0.16666666666666666,3
CHEMBL501959,fondo,-8.7,0.6923076923076923,27,4.871794871794871,39,202,190,5.17948717948718,32,0.8205128205128205,5,-8.5,0.6666666666666666,26,4.256410256410256,39,168,166,4.3076923076923075,29,0.7435897435897436,3
CHEMBL36602,fondo,-7.2,2.3076923076923075,30,7.153846153846154,13,95,93,7.3076923076923075,30,2.3076923076923075,0,-7.2,2.3076923076923075,30,7.153846153846154,13,95,93,7.3076923076923075,30,2.3076923076923075,0
CHEMBL18224,fondo,-8.3,0.7272727272727273,24,4.545454545454546,33,162,150,4.909090909090909,25,0.7575757575757576,1,-10.5,1.696969696969697,56,5.303030303030303,33,184,175,5.575757575757576,57,1.7272727272727273,1
CHEMBL504004,fondo,-7.0,0.7307692307692307,19,5.0,26,133,130,5.115384615384615,23,0.8846153846153846,4,-7.0,0.7692307692307693,20,5.115384615384615,26,138,133,5.3076923076923075,23,0.8846153846153846,3
CHEMBL28461,fondo,-6.2,0.6486486486486487,24,3.135135135135135,37,116,116,3.135135135135135,30,0.8108108108108109,6,-6.7,0.8378378378378378,31,4.648648648648648,37,181,172,4.891891891891892,40,1.0810810810810811,9
CHEMBL4575103,fondo,-6.4,0.0,0,0.05172413793103448,58,164,3,2.8275862068965516,8,0.13793103448275862,8,-7.3,0.603448275862069,35,3.0,58,178,174,3.0689655172413794,38,0.6551724137931034,3
CHEMBL4634953,fondo,-5.7,0.02857142857142857,2,0.0,70,147,0,2.1,7,0.1,5,-6.6,0.35714285714285715,25,3.357142857142857,70,235,235,3.357142857142857,30,0.42857142857142855,5
CHEMBL1864687,fondo,-6.1,0.0,0,2.4,25,111,60,4.44,1,0.04,1,-6.4,0.72,18,5.4,25,144,135,5.76,20,0.8,2
CHEMBL527169,fondo,-8.0,1.5384615384615385,40,5.615384615384615,26,182,146,7.0,43,1.6538461538461537,3,-7.5,1.9615384615384615,51,5.615384615384615,26,151,146,5.8076923076923075,52,2.0,1
CHEMBL37719,fondo,-6.3,1.75,28,6.875,16,111,110,6.9375,30,1.875,2,-6.7,1.75,28,7.875,16,131,126,8.1875,32,2.0,4
CHEMBL10384,fondo,-6.5,1.45,29,6.25,20,130,125,6.5,31,1.55,2,-6.4,1.45,29,6.35,20,132,127,6.6,30,1.5,1
CHEMBL4116135,fondo,-6.5,0.0,0,0.0,35,140,0,4.0,2,0.05714285714285714,2,-6.5,0.9714285714285714,34,4.857142857142857,35,170,170,4.857142857142857,34,0.9714285714285714,0
CHEMBL4637402,fondo,-4.6,0.0,0,8.363636363636363,11,93,92,8.454545454545455,0,0.0,0,-4.6,0.0,0,8.181818181818182,11,100,90,9.090909090909092,3,0.2727272727272727,3
CHEMBL1859213,fondo,-7.5,1.0,27,5.222222222222222,27,144,141,5.333333333333333,28,1.037037037037037,1,-7.5,1.0740740740740742,29,5.407407407407407,27,148,146,5.481481481481482,31,1.1481481481481481,2
CHEMBL7787,fondo,-4.7,0.0,0,1.9333333333333333,15,88,29,5.866666666666666,4,0.26666666666666666,4,-5.0,0.0,0,1.8,15,71,27,4.733333333333333,5,0.3333333333333333,5
