ligand,rol,vina,recall,jaccard,coseno,n_contactos
DECM_CHEMBL1546,decoy,-4.491,0.9286,0.1813,0.6048,66
DECM_CHEMBL1571416,decoy,-4.895,0.9286,0.0997,0.8305,35
DECM_CHEMBL170988,decoy,-5.927,0.9286,0.2165,0.5636,76
DECM_CHEMBL17224,decoy,-6.699,0.9286,0.2216,0.5528,79
DECM_CHEMBL1879748,decoy,-4.904,0.9286,0.114,0.7769,40
DECM_CHEMBL1909282,decoy,-5.453,0.9286,0.1761,0.619,63
DECM_CHEMBL229128,decoy,-5.146,0.9286,0.1937,0.5959,68
DECM_CHEMBL25,decoy,-4.619,0.9286,0.114,0.7769,40
DECM_CHEMBL27275,decoy,-5.834,0.9286,0.2179,0.5329,85
DECM_CHEMBL282052,decoy,-5.573,0.9286,0.1311,0.7245,46
DECM_CHEMBL584766,decoy,-6.769,0.9286,0.208,0.5751,73
DECM_CHEMBL8328,decoy,-5.439,0.9286,0.1909,0.6003,67
DECM_CHEMBL925,decoy,-5.216,0.9286,0.2365,0.5393,83
DEC_5-HYDROXYFLAVONE,decoy,-5.964,0.9286,0.208,0.5751,73
DEC_Alpha-Lipoic_Acid,decoy,-4.045,0.9286,0.1937,0.5959,68
DEC_Apigenin,decoy,-5.791,0.9286,0.2165,0.5636,76
DEC_Arimoclomol,decoy,-5.026,0.9286,0.188,0.6048,66
DEC_Baclofen,decoy,-5.161,0.9286,0.1795,0.619,63
DEC_Baicalein,decoy,-5.899,0.9286,0.208,0.5751,73
DEC_CHEMBL1210791,decoy,-5.232,0.9286,0.1652,0.6452,58
DEC_CHEMBL124937,decoy,-6.577,0.9286,0.2023,0.5831,71
DEC_CHEMBL1256364,decoy,-4.846,0.9286,0.1624,0.6508,57
DEC_CHEMBL1322610,decoy,-5.172,0.9286,0.1841,0.6003,67
DEC_CHEMBL1327582,decoy,-6.683,0.9286,0.1662,0.619,63
DEC_CHEMBL1343719,decoy,-5.245,0.9286,0.1588,0.6094,65
DEC_CHEMBL1344270,decoy,-4.606,0.9286,0.1595,0.6566,56
DEC_CHEMBL1354314,decoy,-5.619,0.9286,0.1852,0.6094,65
DEC_CHEMBL1372889,decoy,-5.013,0.9286,0.0855,0.8971,30
DEC_CHEMBL1391531,decoy,-5.458,0.9286,0.1709,0.6343,60
DEC_CHEMBL1440455,decoy,-5.031,0.9286,0.1681,0.6397,59
DEC_CHEMBL1443628,decoy,-5.081,0.9286,0.114,0.7769,40
DEC_CHEMBL1475748,decoy,-6.41,0.9286,0.1909,0.6003,67
DEC_CHEMBL1501518,decoy,-4.303,0.9286,0.1989,0.5831,71
DEC_CHEMBL1502132,decoy,-5.808,0.9286,0.2108,0.5712,74
DEC_CHEMBL1530615,decoy,-5.731,0.9286,0.2308,0.5459,81
DEC_CHEMBL1570216,decoy,-5.393,0.9286,0.2131,0.5636,76
DEC_CHEMBL1595503,decoy,-5.018,0.9286,0.1026,0.8189,36
DEC_CHEMBL1597270,decoy,-5.154,0.9286,0.1311,0.7245,46
DEC_CHEMBL1602967,decoy,-6.175,0.9286,0.1197,0.7582,42
DEC_CHEMBL166209,decoy,-5.533,0.9286,0.1453,0.688,51
DEC_CHEMBL1708737,decoy,-6.256,0.9286,0.1738,0.6291,61
DEC_CHEMBL1730073,decoy,-5.37,0.9286,0.1652,0.6452,58
DEC_CHEMBL1730329,decoy,-5.311,0.9286,0.1818,0.6094,65
DEC_CHEMBL1875761,decoy,-5.296,0.9286,0.2165,0.5636,76
DEC_CHEMBL1879748,decoy,-5.006,0.9286,0.1311,0.7245,46
DEC_CHEMBL2179268,decoy,-5.595,0.9286,0.1852,0.6094,65
DEC_CHEMBL3189534,decoy,-5.346,0.9286,0.2074,0.5712,74
DEC_Ezogabine,decoy,-4.663,0.9286,0.187,0.5959,68
DEC_Luteolin,decoy,-5.808,0.9286,0.2279,0.5494,80
ACT_CHEMBL1643557,activo,-5.354,0.8966,0.1795,0.6035,64
ACT_CHEMBL2165610,activo,-5.222,0.8966,0.1937,0.5812,69
ACT_CHEMBL2165607,activo,-5.414,0.8929,0.1766,0.6,62
DECH_CHEMBL101,decoy,-5.202,0.8929,0.1311,0.6966,46
DECH_CHEMBL1201168,decoy,-5.474,0.8929,0.1425,0.6682,50
DECH_CHEMBL1362943,decoy,-5.717,0.8929,0.2358,0.5155,84
DECH_CHEMBL1401346,decoy,-5.506,0.8929,0.1932,0.5688,69
DECH_CHEMBL1485521,decoy,-4.951,0.8929,0.1534,0.6371,55
DECH_CHEMBL1536068,decoy,-4.737,0.8929,0.1368,0.6819,48
DECH_CHEMBL1563897,decoy,-4.768,0.8929,0.1453,0.6616,51
DECH_CHEMBL1877893,decoy,-6.395,0.8929,0.2137,0.5455,75
DECH_CHEMBL22,decoy,-4.907,0.8929,0.2096,0.5419,76
DECH_CHEMBL23647,decoy,-5.936,0.8929,0.2194,0.5384,77
DECH_CHEMBL7790,decoy,-6.245,0.8929,0.0912,0.8352,32
DECH_CHEMBL8488,decoy,-5.162,0.8929,0.1296,0.6682,50
DECH_CHEMBL849,decoy,-5.128,0.8929,0.2169,0.525,81
DECM_CHEMBL1118,decoy,-5.378,0.8929,0.2023,0.5607,71
DECM_CHEMBL112,decoy,-4.403,0.8929,0.1567,0.6371,55
DECM_CHEMBL1712280,decoy,-5.267,0.8929,0.1481,0.6552,52
DECM_CHEMBL1730073,decoy,-5.448,0.8929,0.1567,0.6371,55
DECM_CHEMBL266960,decoy,-5.802,0.8929,0.1766,0.6,62
DECM_CHEMBL289480,decoy,-4.546,0.8929,0.1481,0.6552,52
DECM_CHEMBL4435035,decoy,-6.6,0.8929,0.1994,0.5647,70
DECM_CHEMBL445,decoy,-5.612,0.8929,0.1453,0.6616,51
DECM_CHEMBL4553656,decoy,-6.976,0.8929,0.2646,0.4655,103
DECM_CHEMBL918,decoy,-5.006,0.8929,0.1168,0.7379,41
DEC_CHEMBL1343668,decoy,-5.599,0.8929,0.1676,0.6099,60
DEC_CHEMBL1373785,decoy,-5.264,0.8929,0.1709,0.6099,60
DEC_CHEMBL1429107,decoy,-5.299,0.8929,0.1624,0.6258,57
DEC_CHEMBL1431783,decoy,-5.986,0.8929,0.1538,0.6429,54
DEC_CHEMBL1470903,decoy,-6.203,0.8929,0.2165,0.5419,76
DEC_CHEMBL1486052,decoy,-5.087,0.8929,0.1823,0.5906,64
DEC_CHEMBL1491587,decoy,-6.525,0.8929,0.1738,0.6049,61
DEC_CHEMBL1510247,decoy,-5.754,0.8929,0.1453,0.6616,51
DEC_CHEMBL1524161,decoy,-4.641,0.8929,0.1795,0.5952,63
DEC_CHEMBL1524176,decoy,-5.415,0.8929,0.1994,0.5647,70
DEC_CHEMBL1539969,decoy,-5.098,0.8929,0.1425,0.6682,50
DEC_CHEMBL1558140,decoy,-5.507,0.8929,0.1875,0.5772,67
DEC_CHEMBL1592685,decoy,-5.221,0.8929,0.2102,0.5455,75
DEC_CHEMBL1732294,decoy,-6.115,0.8929,0.1937,0.5729,68
DEC_CHEMBL1896241,decoy,-5.977,0.8929,0.2119,0.535,78
DEC_CHEMBL1939222,decoy,-5.274,0.8929,0.1909,0.5772,67
DEC_Genistein,decoy,-5.691,0.8929,0.2023,0.5607,71
ACT_CHEMBL2165614,activo,-7.185,0.8621,0.2137,0.5256,78
DECH_CHEMBL1201273,decoy,-6.044,0.8571,0.2877,0.4513,101
DECH_CHEMBL1310629,decoy,-5.743,0.8571,0.1567,0.6116,55
DECH_CHEMBL1437579,decoy,-5.533,0.8571,0.1841,0.5541,67
DECH_CHEMBL1452696,decoy,-5.326,0.8571,0.1339,0.6616,47
DECH_CHEMBL1983350,decoy,-5.185,0.8571,0.1652,0.5956,58
DECH_CHEMBL3774966,decoy,-4.06,0.8571,0.1766,0.576,62
DECH_CHEMBL588,decoy,-5.934,0.8571,0.208,0.5308,73
DECH_CHEMBL8960,decoy,-5.471,0.8571,0.2108,0.5272,74
DECM_CHEMBL1374893,decoy,-5.563,0.8571,0.1738,0.5807,61
DECM_CHEMBL1431783,decoy,-5.94,0.8571,0.1766,0.576,62
DECM_CHEMBL1446677,decoy,-4.805,0.8571,0.1681,0.5905,59
DECM_CHEMBL1728134,decoy,-5.033,0.8571,0.1966,0.546,69
DECM_CHEMBL1896432,decoy,-6.341,0.8571,0.2188,0.5136,78
DECM_CHEMBL770,decoy,-4.924,0.8571,0.1709,0.5855,60
DEC_CHEMBL1092603,decoy,-5.361,0.8571,0.1823,0.5669,64
DEC_CHEMBL1092604,decoy,-5.474,0.8571,0.2165,0.5203,76
DEC_CHEMBL1374893,decoy,-5.657,0.8571,0.1738,0.5807,61
DEC_CHEMBL1409776,decoy,-5.006,0.8571,0.1339,0.6616,47
DEC_CHEMBL1437579,decoy,-5.541,0.8571,0.2137,0.5237,75
DEC_CHEMBL1441905,decoy,-5.269,0.8571,0.1225,0.6917,43
DEC_CHEMBL1446677,decoy,-4.944,0.8571,0.1709,0.5855,60
DEC_CHEMBL1536059,decoy,-5.228,0.8571,0.1681,0.5905,59
DEC_CHEMBL1554159,decoy,-6.358,0.8571,0.2137,0.5237,75
DEC_CHEMBL1608506,decoy,-5.453,0.8571,0.1652,0.5956,58
DEC_CHEMBL1728134,decoy,-5.026,0.8571,0.1983,0.5345,72
DEC_IPRIFLAVONE,decoy,-6.01,0.8571,0.1852,0.5626,65
DECH_CHEMBL1161220,decoy,-5.449,0.8214,0.1978,0.489,79
DECH_CHEMBL1501518,decoy,-4.274,0.8214,0.1392,0.6147,50
DECH_CHEMBL1547534,decoy,-4.325,0.8214,0.1225,0.6628,43
DECH_CHEMBL1597201,decoy,-5.131,0.8214,0.1795,0.5476,63
DECH_CHEMBL20160,decoy,-6.251,0.8214,0.169,0.5433,64
DECH_CHEMBL20287,decoy,-6.316,0.8214,0.1513,0.5611,60
DECH_CHEMBL408513,decoy,-5.96,0.8214,0.1966,0.5233,69
DECH_CHEMBL490,decoy,-6.213,0.8214,0.1756,0.5433,64
DECM_CHEMBL1483,decoy,-4.539,0.8214,0.1949,0.5123,72
DECM_CHEMBL2105420,decoy,-4.682,0.8214,0.1591,0.5757,57
DECM_CHEMBL2106939,decoy,-4.432,0.8214,0.1591,0.5757,57
