molecula,nombre,tipo,valor,unidades,pchembl,ensayo,documento,ano,descripcion_ensayo
CHEMBL2335499,,IC50,381100.0,nM,,CHEMBL3089951,CHEMBL3085706,2013,Inhibition of human erythrocyte CuZn-SOD assessed as reduction of nitrobluetetrazolium measured for 10 mins by spectrophotometric analysis
CHEMBL3355357,,IC50,56600.0,nM,4.25,CHEMBL3380222,CHEMBL3351618,2015,Inhibition of CuZn-SOD in human erythrocytes
CHEMBL3355358,,IC50,58900.0,nM,4.23,CHEMBL3380222,CHEMBL3351618,2015,Inhibition of CuZn-SOD in human erythrocytes
CHEMBL4129006,,IC50,145800.0,nM,,CHEMBL4125097,CHEMBL4118256,2018,Inhibition of human erythrocyte CuZn-SOD by UV-Visible spectrophotometric method
CHEMBL4127450,,IC50,100000.0,nM,4.00,CHEMBL4125097,CHEMBL4118256,2018,Inhibition of human erythrocyte CuZn-SOD by UV-Visible spectrophotometric method
CHEMBL4128846,,IC50,100000.0,nM,,CHEMBL4125097,CHEMBL4118256,2018,Inhibition of human erythrocyte CuZn-SOD by UV-Visible spectrophotometric method
CHEMBL4475359,,IC50,50000.0,nM,,CHEMBL4403079,CHEMBL4402517,2019,Inhibition of human erythrocyte CuZn-SOD
CHEMBL4469091,,IC50,50000.0,nM,,CHEMBL4403079,CHEMBL4402517,2019,Inhibition of human erythrocyte CuZn-SOD
CHEMBL4447402,,IC50,100000.0,nM,,CHEMBL4414489,CHEMBL4411344,2019,Inhibition of human erythrocyte CuZn-SOD by UV-Visible spectrophotometric method
CHEMBL4450115,,IC50,100000.0,nM,,CHEMBL4414489,CHEMBL4411344,2019,Inhibition of human erythrocyte CuZn-SOD by UV-Visible spectrophotometric method
CHEMBL4746812,,IC50,100000.0,nM,,CHEMBL4678308,CHEMBL4673334,2020,Inhibition of human erythrocytes CuZn-SOD by UV-VIS spectrophotometric method
CHEMBL4740139,,IC50,100000.0,nM,,CHEMBL4678308,CHEMBL4673334,2020,Inhibition of human erythrocytes CuZn-SOD by UV-VIS spectrophotometric method
CHEMBL1782791,,IC50,46600.0,nM,4.33,CHEMBL4681786,CHEMBL4680103,2016,Inhibition of human erythrocyte CuZn-SOD by NBT dye based spectrophotometry
CHEMBL4747761,,IC50,206000.0,nM,,CHEMBL4681786,CHEMBL4680103,2016,Inhibition of human erythrocyte CuZn-SOD by NBT dye based spectrophotometry
CHEMBL4764725,,IC50,215000.0,nM,,CHEMBL4681786,CHEMBL4680103,2016,Inhibition of human erythrocyte CuZn-SOD by NBT dye based spectrophotometry
CHEMBL5653589,,Kd,16280.26,nM,4.79,CHEMBL5652507,CHEMBL5649169,2018,Binding affinity to human SOD1 incubated for 45 mins by Kinobead based pull down assay
