ligand,target,energy
CHEMBL444368,SOD1,0.0
CHEMBL153812,TDP43,0.0
CHEMBL443462,TDP43,0.0
CHEMBL443462,SOD1,0.0
CHEMBL443597,TDP43,0.0
CHEMBL443597,SOD1,0.0
CHEMBL443602,SOD1,0.0
CHEMBL443682,TDP43,0.0
CHEMBL437851,TDP43,0.0
CHEMBL263193,TDP43,0.0
CHEMBL263193,SOD1,0.0
CHEMBL443332,TDP43,0.0
CHEMBL443332,SOD1,0.0
CHEMBL443686,TDP43,0.0
CHEMBL443686,SOD1,0.0
CHEMBL155263,TDP43,0.0
CHEMBL443886,TDP43,0.0
CHEMBL499517,SOD1,0.0
CHEMBL444924,TDP43,0.0
CHEMBL445000,TDP43,0.0
CHEMBL445000,SOD1,0.0
CHEMBL268339,SOD1,0.0
CHEMBL155926,TDP43,0.0
CHEMBL155926,SOD1,0.0
CHEMBL262244,TDP43,0.0
CHEMBL262399,SOD1,0.0
CHEMBL262267,SOD1,0.0
CHEMBL153534,SOD1,1.895e-06
CHEMBL438132,TDP43,3.406e-06
CHEMBL501101,SOD1,3.414e-06
CHEMBL216546,TDP43,3.684e-06
CHEMBL153812,SOD1,4.26e-06
CHEMBL153534,TDP43,6.149e-06
CHEMBL499906,SOD1,7.871e-06
CHEMBL443886,SOD1,8.027e-06
CHEMBL155263,SOD1,6.208e-05
CHEMBL264521,SOD1,6.292e-05
CHEMBL1082532,TDP43,8.868e-05
CHEMBL405398,SOD1,0.0001102
CHEMBL268086,SOD1,0.0001497
CHEMBL441131,TDP43,0.0001753
CHEMBL405416,SOD1,0.0001882
CHEMBL405667,TDP43,0.0002035
CHEMBL438807,SOD1,0.000207
CHEMBL499906,TDP43,0.0003068
CHEMBL504077,TDP43,0.0003463
CHEMBL443992,SOD1,0.0004171
CHEMBL438329,SOD1,0.0004514
CHEMBL506057,SOD1,0.0005578
CHEMBL438024,TDP43,0.0006751
CHEMBL4116085,TDP43,0.0008236
CHEMBL504077,SOD1,0.0008631
CHEMBL262267,TDP43,0.001322
CHEMBL438822,TDP43,0.001478
