ligand,tanda,aff_vieja,aff_nueva,error
CHEMBL1076131,z001,-6.600,,TIMEOUT
CHEMBL1076656,z001,-6.600,,TIMEOUT
CHEMBL1078513,z001,-6.600,-6.916,
CHEMBL1091702,z001,-6.600,,TIMEOUT
CHEMBL269191,z001,-6.500,,TIMEOUT
CHEMBL3309396,z001,-6.500,,TIMEOUT
CHEMBL3309782,z001,-6.500,-6.197,
CHEMBL3311276,z001,-6.500,-7.037,
CHEMBL1165737,z001,-6.500,,TIMEOUT
CHEMBL1203132,z001,-6.500,-5.433,
CHEMBL1214612,z001,-6.500,-6.630,
CHEMBL1222793,z001,-6.500,-6.301,
CHEMBL6926,z001,-6.500,-7.060,
CHEMBL6932,z001,-6.500,,TIMEOUT
CHEMBL6967,z001,-6.500,-6.095,
CHEMBL7305,z001,-6.500,-5.799,
CHEMBL4116122,z001,-6.500,-6.292,
CHEMBL444748,z001,-6.500,,TIMEOUT
CHEMBL4553134,z001,-6.500,-6.022,
CHEMBL4553140,z001,-6.500,-5.705,
CHEMBL1094701,z001,-6.600,-7.228,
CHEMBL1163143,z001,-6.600,-5.841,
CHEMBL1163239,z001,-6.600,,TIMEOUT
CHEMBL1207005,z001,-6.600,,TIMEOUT
CHEMBL1076214,z001,-6.500,-7.544,
CHEMBL1076290,z001,-6.500,-6.837,
CHEMBL1090356,z001,-6.500,,TIMEOUT
CHEMBL1096640,z001,-6.500,-6.010,
CHEMBL7791,z001,-6.500,-6.746,
CHEMBL7960,z001,-6.500,-6.718,
CHEMBL8077,z001,-6.500,-6.560,
CHEMBL8138,z001,-6.500,-6.146,
CHEMBL1183274,z001,-6.400,,TIMEOUT
CHEMBL1187868,z001,-6.400,-6.504,
CHEMBL1203199,z001,-6.400,-6.067,
CHEMBL1215753,z001,-6.400,-5.689,
CHEMBL4553613,z001,-6.500,-5.508,
CHEMBL500111,z001,-6.500,,TIMEOUT
CHEMBL501758,z001,-6.500,,TIMEOUT
CHEMBL502653,z001,-6.500,,TIMEOUT
CHEMBL503289,z001,-6.500,,TIMEOUT
CHEMBL507224,z001,-6.500,,TIMEOUT
CHEMBL574800,z001,-6.500,-6.862,
CHEMBL582221,z001,-6.500,-7.597,
CHEMBL7360,z001,-6.500,-7.166,
CHEMBL7465,z001,-6.500,-6.059,
CHEMBL7522,z001,-6.500,,TIMEOUT
CHEMBL7719,z001,-6.500,-6.608,
CHEMBL438329,z001,-6.400,-7.027,
CHEMBL445000,z001,-6.400,-6.251,
CHEMBL4553582,z001,-6.400,-6.510,
CHEMBL4553584,z001,-6.400,-6.831,
CHEMBL8407,z001,-6.500,-7.164,
CHEMBL9010,z001,-6.500,-6.320,
CHEMBL9026,z001,-6.500,-6.543,
CHEMBL9047,z001,-6.500,,TIMEOUT
CHEMBL6402,z001,-6.500,-6.332,
CHEMBL6579,z001,-6.500,-6.118,
CHEMBL6637,z001,-6.500,,TIMEOUT
CHEMBL6850,z001,-6.500,,TIMEOUT
CHEMBL1086063,z001,-6.400,-5.262,
CHEMBL1089470,z001,-6.400,-6.315,
CHEMBL1090651,z001,-6.400,,TIMEOUT
CHEMBL1163233,z001,-6.400,,TIMEOUT
CHEMBL9387,z001,-6.500,-6.448,
CHEMBL9405,z001,-6.500,-6.513,
CHEMBL1076027,z001,-6.400,,TIMEOUT
CHEMBL1077330,z001,-6.400,,TIMEOUT
CHEMBL7858,z001,-6.400,-6.136,
CHEMBL7914,z001,-6.400,-6.979,
CHEMBL7999,z001,-6.400,-6.208,
CHEMBL8129,z001,-6.400,-5.222,
CHEMBL4553589,z001,-6.400,-6.909,
CHEMBL4553597,z001,-6.400,-6.266,
CHEMBL4553608,z001,-6.400,-6.219,
CHEMBL4559942,z001,-6.400,-7.273,
CHEMBL7270,z001,-6.400,-5.841,
CHEMBL7656,z001,-6.400,,TIMEOUT
CHEMBL7794,z001,-6.400,-5.953,
CHEMBL7821,z001,-6.400,-5.541,
CHEMBL6968,z001,-6.400,-5.743,
CHEMBL7136,z001,-6.400,-6.329,
CHEMBL7167,z001,-6.400,,TIMEOUT
CHEMBL7256,z001,-6.400,-5.219,
CHEMBL174668,z001,-6.400,,TIMEOUT
CHEMBL3309325,z001,-6.400,-6.431,
CHEMBL3310128,z001,-6.400,-5.767,
CHEMBL4116005,z001,-6.400,-5.262,
CHEMBL564926,z001,-6.400,,TIMEOUT
CHEMBL582415,z001,-6.400,-6.469,
CHEMBL593201,z001,-6.400,-6.505,
CHEMBL610630,z001,-6.400,-6.188,
CHEMBL1223009,z001,-6.400,-6.084,
CHEMBL158175,z001,-6.400,,TIMEOUT
CHEMBL159567,z001,-6.400,,TIMEOUT
CHEMBL164817,z001,-6.400,,TIMEOUT
CHEMBL6803,z001,-6.400,,TIMEOUT
CHEMBL6897,z001,-6.400,-6.098,
CHEMBL6942,z001,-6.400,-6.529,
CHEMBL6947,z001,-6.400,-7.168,
CHEMBL4553571,z001,-6.300,-5.621,
CHEMBL4553576,z001,-6.300,-5.527,
CHEMBL4559922,z001,-6.300,-6.285,
CHEMBL4559940,z001,-6.300,-6.434,
CHEMBL499581,z001,-6.400,,TIMEOUT
CHEMBL501280,z001,-6.400,-6.997,
CHEMBL501691,z001,-6.400,-6.205,
CHEMBL501963,z001,-6.400,,TIMEOUT
CHEMBL502411,z001,-6.400,-6.745,
CHEMBL503232,z001,-6.400,,TIMEOUT
CHEMBL507540,z001,-6.400,-6.640,
CHEMBL524158,z001,-6.400,,TIMEOUT
CHEMBL530004,z001,-6.400,,TIMEOUT
CHEMBL549249,z001,-6.400,-6.520,
CHEMBL552986,z001,-6.400,,TIMEOUT
CHEMBL555367,z001,-6.400,-5.864,
CHEMBL8890,z001,-6.400,-6.273,
CHEMBL8905,z001,-6.400,-6.350,
CHEMBL9291,z001,-6.400,-6.355,
CHEMBL9388,z001,-6.400,-6.987,
CHEMBL8131,z001,-6.400,-6.619,
CHEMBL8258,z001,-6.400,-5.109,
CHEMBL8414,z001,-6.400,,TIMEOUT
CHEMBL8825,z001,-6.400,,TIMEOUT
CHEMBL1196830,z001,-6.300,-5.746,
CHEMBL1200285,z001,-6.300,-5.717,
CHEMBL1222580,z001,-6.300,,TIMEOUT
CHEMBL1222790,z001,-6.300,-6.291,
CHEMBL14758,z001,-6.300,-6.428,
CHEMBL153717,z001,-6.300,-6.958,
CHEMBL3309451,z001,-6.300,-5.954,
CHEMBL3309965,z001,-6.300,,TIMEOUT
CHEMBL3310005,z001,-6.300,-5.924,
CHEMBL3310845,z001,-6.300,-5.998,
CHEMBL4116087,z001,-6.300,-6.102,
CHEMBL4116093,z001,-6.300,,TIMEOUT
CHEMBL9479,z001,-6.400,-6.527,
CHEMBL1075666,z001,-6.300,,TIMEOUT
CHEMBL1076491,z001,-6.300,,TIMEOUT
CHEMBL1088309,z001,-6.300,,TIMEOUT
CHEMBL4116107,z001,-6.300,-7.282,
CHEMBL414380,z001,-6.300,,TIMEOUT
CHEMBL445011,z001,-6.300,-6.707,
CHEMBL4553177,z001,-6.300,-6.620,
CHEMBL6653,z001,-6.300,-6.222,
CHEMBL6686,z001,-6.300,-5.777,
CHEMBL6770,z001,-6.300,-4.912,
CHEMBL6829,z001,-6.300,,TIMEOUT
CHEMBL1088337,z001,-6.300,-5.653,
CHEMBL1091740,z001,-6.300,,TIMEOUT
CHEMBL1092041,z001,-6.300,,TIMEOUT
CHEMBL1095192,z001,-6.300,-6.392,
CHEMBL1163212,z001,-6.300,-5.909,
CHEMBL1163217,z001,-6.300,,TIMEOUT
CHEMBL1163237,z001,-6.300,,TIMEOUT
CHEMBL1186195,z001,-6.300,,TIMEOUT
CHEMBL504398,z001,-6.300,,TIMEOUT
CHEMBL525924,z001,-6.300,-6.475,
CHEMBL530151,z001,-6.300,,TIMEOUT
CHEMBL552187,z001,-6.300,-6.260,
CHEMBL581092,z001,-6.300,,TIMEOUT
CHEMBL6321,z001,-6.300,-6.258,
CHEMBL6325,z001,-6.300,,TIMEOUT
CHEMBL6403,z001,-6.300,-6.033,
CHEMBL7378,z001,-6.300,-5.793,
CHEMBL7411,z001,-6.300,-7.012,
CHEMBL7430,z001,-6.300,-6.243,
CHEMBL7450,z001,-6.300,,TIMEOUT
CHEMBL7049,z001,-6.300,-7.260,
CHEMBL7051,z001,-6.300,,TIMEOUT
CHEMBL7083,z001,-6.300,-6.427,
CHEMBL7134,z001,-6.300,-6.840,
CHEMBL7617,z001,-6.300,-5.789,
CHEMBL7641,z001,-6.300,,TIMEOUT
CHEMBL7848,z001,-6.300,-6.432,
CHEMBL7991,z001,-6.300,-7.173,
CHEMBL7176,z001,-6.300,-6.523,
CHEMBL7190,z001,-6.300,,TIMEOUT
CHEMBL7251,z001,-6.300,,TIMEOUT
CHEMBL7276,z001,-6.300,-6.664,
CHEMBL499961,z001,-6.300,,TIMEOUT
CHEMBL501130,z001,-6.300,,TIMEOUT
CHEMBL502626,z001,-6.300,,TIMEOUT
CHEMBL504397,z001,-6.300,,TIMEOUT
CHEMBL8206,z001,-6.300,-6.366,
CHEMBL8453,z001,-6.300,-5.875,
CHEMBL8536,z001,-6.300,-5.670,
CHEMBL8546,z001,-6.300,-6.384,
CHEMBL8553,z001,-6.300,,TIMEOUT
CHEMBL8581,z001,-6.300,-6.185,
CHEMBL8660,z001,-6.300,,TIMEOUT
CHEMBL9449,z001,-6.300,-6.290,
CHEMBL9459,z001,-6.300,,TIMEOUT
CHEMBL9461,z001,-6.300,,TIMEOUT
CHEMBL13411,z002,-7.900,-8.036,
CHEMBL4560033,z002,-7.900,-7.699,
CHEMBL4559987,z002,-7.800,-7.254,
CHEMBL1163325,z002,-7.700,-7.718,
CHEMBL12004,z002,-7.700,-7.253,
CHEMBL11778,z002,-7.500,-7.994,
CHEMBL10031,z002,-6.800,-7.011,
CHEMBL10100,z002,-6.800,-6.427,
CHEMBL10588,z002,-6.800,-5.693,
CHEMBL11131,z002,-6.800,-5.776,
CHEMBL4553138,z002,-7.500,-7.032,
CHEMBL12645,z002,-7.300,-8.122,
CHEMBL13317,z002,-7.300,,TIMEOUT
CHEMBL13868,z002,-7.300,,TIMEOUT
CHEMBL4543357,z002,-7.100,-7.600,
CHEMBL9379,z002,-7.100,-6.602,
CHEMBL10552,z002,-7.000,-6.766,
CHEMBL1163458,z002,-7.000,-7.561,
CHEMBL11244,z002,-6.900,,TIMEOUT
CHEMBL11625,z002,-6.900,-7.281,
CHEMBL12018,z002,-6.900,-8.041,
CHEMBL13065,z002,-6.900,-6.103,
CHEMBL11914,z002,-7.100,-7.718,
CHEMBL14228,z002,-7.100,,TIMEOUT
CHEMBL14606,z002,-7.100,-7.436,
CHEMBL24319,z002,-7.100,,TIMEOUT
CHEMBL13770,z002,-6.900,-6.311,
CHEMBL3309838,z002,-6.900,,TIMEOUT
CHEMBL4559950,z002,-6.900,-5.797,
CHEMBL10010,z002,-6.800,-6.562,
CHEMBL14048,z002,-6.800,-6.629,
CHEMBL14089,z002,-6.800,-6.697,
CHEMBL14396,z002,-6.800,-6.040,
CHEMBL14887,z002,-6.800,,TIMEOUT
CHEMBL4543352,z002,-7.000,-5.922,
CHEMBL4553554,z002,-7.000,-4.404,
CHEMBL9952,z002,-7.000,-6.268,
CHEMBL10639,z002,-6.900,,TIMEOUT
CHEMBL14187,z002,-7.300,,TIMEOUT
CHEMBL13524,z002,-7.200,-6.880,
CHEMBL4559959,z002,-7.200,,TIMEOUT
CHEMBL10005,z002,-7.100,-6.582,
CHEMBL11812,z002,-7.000,,TIMEOUT
CHEMBL13828,z002,-7.000,-6.161,
CHEMBL14076,z002,-7.000,-6.789,
CHEMBL3309837,z002,-7.000,,TIMEOUT
CHEMBL10079,z002,-6.700,-6.663,
CHEMBL10136,z002,-6.700,-7.114,
CHEMBL10676,z002,-6.700,-7.021,
CHEMBL10826,z002,-6.700,-6.812,
CHEMBL11793,z002,-6.800,-7.468,
CHEMBL11895,z002,-6.800,-7.687,
CHEMBL11899,z002,-6.800,-7.368,
CHEMBL12421,z002,-6.800,-6.547,
CHEMBL11508,z002,-6.800,-7.418,
CHEMBL11533,z002,-6.800,-7.755,
CHEMBL11757,z002,-6.800,-6.848,
CHEMBL11791,z002,-6.800,-6.963,
CHEMBL3309394,z002,-6.800,,TIMEOUT
CHEMBL4543175,z002,-6.800,-6.939,
CHEMBL4543184,z002,-6.800,-5.985,
CHEMBL9465,z002,-6.800,-6.763,
CHEMBL9510,z002,-6.800,-6.571,
CHEMBL9596,z002,-6.800,-6.975,
CHEMBL9951,z002,-6.800,-6.450,
CHEMBL10059,z002,-6.700,-7.118,
CHEMBL14544,z002,-6.700,-6.283,
CHEMBL14591,z002,-6.700,-5.891,
CHEMBL4553671,z002,-6.700,-7.170,
CHEMBL9181,z002,-6.700,-6.702,
CHEMBL12987,z002,-6.800,-5.950,
CHEMBL13578,z002,-6.800,,TIMEOUT
CHEMBL13731,z002,-6.800,,TIMEOUT
CHEMBL13816,z002,-6.800,-6.069,
CHEMBL10063,z002,-6.600,-6.155,
CHEMBL10295,z002,-6.600,-6.618,
CHEMBL10334,z002,-6.600,-6.811,
CHEMBL10456,z002,-6.600,-7.419,
CHEMBL14401,z002,-6.600,-6.735,
CHEMBL14863,z002,-6.600,-6.581,
CHEMBL3310015,z002,-6.600,-6.710,
CHEMBL3310017,z002,-6.600,-6.764,
CHEMBL11745,z002,-6.700,-7.604,
CHEMBL11785,z002,-6.700,-6.928,
CHEMBL12346,z002,-6.700,-7.305,
CHEMBL13055,z002,-6.700,-5.605,
CHEMBL9678,z002,-6.700,-5.273,
CHEMBL9736,z002,-6.700,-5.836,
CHEMBL9968,z002,-6.700,-4.728,
CHEMBL9971,z002,-6.700,-6.756,
CHEMBL13550,z002,-6.600,-7.272,
CHEMBL13565,z002,-6.600,-6.718,
CHEMBL13903,z002,-6.600,-5.644,
CHEMBL14316,z002,-6.600,-6.848,
CHEMBL10760,z002,-6.600,,TIMEOUT
CHEMBL10846,z002,-6.600,-6.450,
CHEMBL10850,z002,-6.600,-6.489,
CHEMBL11115,z002,-6.600,-5.733,
CHEMBL4553626,z002,-6.600,-5.936,
CHEMBL4559999,z002,-6.600,-5.925,
CHEMBL4560031,z002,-6.600,-5.373,
CHEMBL9250,z002,-6.600,-6.249,
CHEMBL12566,z002,-6.600,-6.591,
CHEMBL12752,z002,-6.600,-5.986,
CHEMBL12801,z002,-6.600,-6.400,
CHEMBL12846,z002,-6.600,-7.070,
CHEMBL13366,z002,-6.700,-6.564,
CHEMBL13602,z002,-6.700,-7.521,
CHEMBL13734,z002,-6.700,-6.500,
CHEMBL13933,z002,-6.700,-6.134,
CHEMBL1163487,z002,-6.600,,TIMEOUT
CHEMBL11732,z002,-6.600,-7.007,
CHEMBL11877,z002,-6.600,-6.506,
CHEMBL11905,z002,-6.600,-7.519,
CHEMBL14255,z002,-6.500,-6.171,
CHEMBL14607,z002,-6.500,-5.261,
CHEMBL14864,z002,-6.500,-6.433,
CHEMBL14907,z002,-6.500,-6.241,
CHEMBL12143,z002,-6.600,-7.630,
CHEMBL12225,z002,-6.600,-6.470,
CHEMBL12375,z002,-6.600,-6.226,
CHEMBL12460,z002,-6.600,-7.118,
CHEMBL9955,z002,-6.600,-6.616,
CHEMBL10032,z002,-6.500,-6.593,
CHEMBL10088,z002,-6.500,-6.905,
CHEMBL10114,z002,-6.500,,TIMEOUT
CHEMBL9616,z002,-6.600,-6.212,
CHEMBL9718,z002,-6.600,-6.584,
CHEMBL9785,z002,-6.600,-4.803,
CHEMBL9858,z002,-6.600,,TIMEOUT
CHEMBL13078,z002,-6.500,-6.219,
CHEMBL13594,z002,-6.500,,TIMEOUT
CHEMBL13656,z002,-6.500,,TIMEOUT
CHEMBL13979,z002,-6.500,-6.409,
CHEMBL1163388,z002,-6.500,-5.969,
CHEMBL11786,z002,-6.500,-6.935,
CHEMBL11816,z002,-6.500,,TIMEOUT
CHEMBL11893,z002,-6.500,,TIMEOUT
CHEMBL3310039,z002,-6.500,-6.664,
CHEMBL4543206,z002,-6.500,-6.346,
CHEMBL4543351,z002,-6.500,-6.494,
CHEMBL4553677,z002,-6.500,-6.715,
CHEMBL9835,z002,-6.500,-6.485,
CHEMBL9840,z002,-6.500,-6.180,
CHEMBL9960,z002,-6.500,-6.643,
CHEMBL10020,z002,-6.400,-6.511,
CHEMBL10231,z002,-6.500,-6.996,
CHEMBL10418,z002,-6.500,-5.510,
CHEMBL11341,z002,-6.500,-6.528,
CHEMBL1163277,z002,-6.500,,TIMEOUT
CHEMBL11921,z002,-6.500,-6.917,
CHEMBL12052,z002,-6.500,-6.406,
CHEMBL12098,z002,-6.500,,TIMEOUT
CHEMBL12518,z002,-6.500,-6.717,
CHEMBL14932,z002,-6.500,-5.996,
CHEMBL3309835,z002,-6.500,-6.527,
CHEMBL3309839,z002,-6.500,,TIMEOUT
CHEMBL3310038,z002,-6.500,-7.042,
CHEMBL10411,z002,-6.400,-4.690,
CHEMBL10536,z002,-6.400,-7.292,
CHEMBL10604,z002,-6.400,,TIMEOUT
CHEMBL10635,z002,-6.400,,TIMEOUT
CHEMBL10039,z002,-6.400,-7.096,
CHEMBL10092,z002,-6.400,-6.852,
CHEMBL10160,z002,-6.400,-6.369,
CHEMBL10349,z002,-6.400,,TIMEOUT
CHEMBL12726,z002,-6.400,-6.184,
CHEMBL13383,z002,-6.400,,TIMEOUT
CHEMBL13716,z002,-6.400,-6.232,
CHEMBL14175,z002,-6.400,-6.230,
CHEMBL9501,z002,-6.400,-6.496,
CHEMBL9516,z002,-6.400,-6.477,
CHEMBL9553,z002,-6.400,-5.977,
CHEMBL9615,z002,-6.400,-6.362,
CHEMBL14177,z002,-6.400,,TIMEOUT
CHEMBL14375,z002,-6.400,-6.365,
CHEMBL14682,z002,-6.400,-5.633,
CHEMBL14751,z002,-6.400,-5.980,
CHEMBL10658,z002,-6.400,-5.861,
CHEMBL10923,z002,-6.400,,TIMEOUT
CHEMBL10931,z002,-6.400,,TIMEOUT
CHEMBL10940,z002,-6.400,,TIMEOUT
CHEMBL9832,z002,-6.400,-4.910,
CHEMBL9970,z002,-6.400,-6.215,
CHEMBL10118,z002,-6.300,-6.108,
CHEMBL10138,z002,-6.300,-5.968,
CHEMBL9767,z002,-6.400,-6.185,
CHEMBL9770,z002,-6.400,-6.247,
CHEMBL9778,z002,-6.400,-6.019,
CHEMBL9781,z002,-6.400,-6.890,
CHEMBL12139,z002,-6.300,-5.935,
CHEMBL12150,z002,-6.300,-6.985,
CHEMBL12503,z002,-6.300,-5.375,
CHEMBL12814,z002,-6.300,-5.913,
CHEMBL11782,z002,-6.400,-7.005,
CHEMBL11820,z002,-6.400,,TIMEOUT
CHEMBL11822,z002,-6.400,-6.758,
CHEMBL11857,z002,-6.400,-5.503,
CHEMBL11010,z002,-6.400,-6.232,
CHEMBL11349,z002,-6.400,,TIMEOUT
CHEMBL1163417,z002,-6.400,,TIMEOUT
CHEMBL11710,z002,-6.400,,TIMEOUT
CHEMBL11920,z002,-6.400,-7.144,
CHEMBL12085,z002,-6.400,,TIMEOUT
CHEMBL12416,z002,-6.400,-7.175,
CHEMBL12491,z002,-6.400,,TIMEOUT
CHEMBL14785,z002,-6.400,,TIMEOUT
CHEMBL14841,z002,-6.400,-6.450,
CHEMBL14951,z002,-6.400,,TIMEOUT
CHEMBL3309395,z002,-6.400,,TIMEOUT
CHEMBL10161,z002,-6.300,,TIMEOUT
CHEMBL10224,z002,-6.300,-6.369,
CHEMBL10277,z002,-6.300,-5.846,
CHEMBL10278,z002,-6.300,-5.905,
CHEMBL4543224,z002,-6.400,-6.010,
CHEMBL4543301,z002,-6.400,-6.407,
CHEMBL4553540,z002,-6.400,,TIMEOUT
CHEMBL4553666,z002,-6.400,,TIMEOUT
CHEMBL4560013,z002,-6.400,-5.299,
CHEMBL4560035,z002,-6.400,,TIMEOUT
CHEMBL9203,z002,-6.400,,TIMEOUT
CHEMBL9500,z002,-6.400,-5.845,
CHEMBL10409,z002,-6.300,-4.933,
CHEMBL10442,z002,-6.300,,TIMEOUT
CHEMBL10746,z002,-6.300,-6.113,
CHEMBL10794,z002,-6.300,,TIMEOUT
CHEMBL14111,z002,-6.300,-6.288,
CHEMBL14234,z002,-6.300,-6.318,
CHEMBL14548,z002,-6.300,-6.252,
CHEMBL14569,z002,-6.300,,TIMEOUT
CHEMBL14855,z002,-6.300,-6.189,
CHEMBL14910,z002,-6.300,-6.031,
CHEMBL3309316,z002,-6.300,,TIMEOUT
CHEMBL3309649,z002,-6.300,-6.481,
CHEMBL11765,z002,-6.300,,TIMEOUT
CHEMBL11864,z002,-6.300,,TIMEOUT
CHEMBL11950,z002,-6.300,-7.033,
CHEMBL12054,z002,-6.300,-5.995,
CHEMBL13478,z002,-6.300,,TIMEOUT
CHEMBL13626,z002,-6.300,-6.362,
CHEMBL13675,z002,-6.300,-6.493,
CHEMBL13745,z002,-6.300,-6.704,
