ligand,rol,affinity
DEC_CHEMBL1524161,decoy,-4.514
DEC_CHEMBL1402270,decoy,-4.512
DEC_CHEMBL1343679,decoy,-4.505
DEC_CHEMBL1879748,decoy,-4.486
DEC_CHEMBL1896432,decoy,-4.478
DEC_CHEMBL1470785,decoy,-4.477
DEC_CHEMBL1574931,decoy,-4.468
DEC_CHEMBL1446677,decoy,-4.457
DEC_CHEMBL1558140,decoy,-4.381
DEC_CHEMBL1602618,decoy,-4.327
DEC_CHEMBL1969867,decoy,-4.323
DEC_CHEMBL1440455,decoy,-4.32
DEC_CHEMBL1409776,decoy,-4.288
DEC_CHEMBL1879685,decoy,-4.281
DEC_CHEMBL1597270,decoy,-4.254
DEC_CHEMBL2179266,decoy,-4.246
DEC_CHEMBL3213756,decoy,-4.22
DEC_CHEMBL1373755,decoy,-4.214
DEC_CHEMBL2359671,decoy,-4.212
DEC_CHEMBL1443628,decoy,-4.202
DEC_CHEMBL1256364,decoy,-4.201
DEC_CHEMBL1978331,decoy,-4.088
DEC_CHEMBL1501518,decoy,-4.072
DEC_CHEMBL1486052,decoy,-4.027
DEC_CHEMBL3774966,decoy,-3.998
DEC_CAPTOPRIL,decoy,-3.957
DEC_CHEMBL1900371,decoy,-3.952
DEC_CHEMBL1879543,decoy,-3.801
DEC_Alpha-Lipoic_Acid,decoy,-3.798
