name,chembl_id,smiles
CHEMBL1362588,CHEMBL1362588,CC1=CC(C)(C)Nc2ccc(OC(=O)C(C)N3C(=O)c4ccccc4C3=O)cc21
CHEMBL1362589,CHEMBL1362589,Cc1ccc(C(=O)N2CCN(c3ccc(NC(=O)c4ccc(Br)o4)cc3)CC2)cc1
CHEMBL1362943,CHEMBL1362943,O=C(CCC(=O)c1cccs1)NNC(=O)c1cccc(Cl)c1
CHEMBL1366684,CHEMBL1366684,CCc1cccc(NC(=O)COC(=O)c2cn(CC)c3nc(C)ccc3c2=O)c1
CHEMBL1366713,CHEMBL1366713,Cc1ccc(CNC(=O)c2ccc3nc(SCc4ccc(F)cc4)[nH]c3c2)cc1
CHEMBL1366776,CHEMBL1366776,COc1ccc(-n2c(-c3ccccc3)nc(=S)c3c2CCCC3)cc1
CHEMBL1366797,CHEMBL1366797,Cc1ccccc1S(=O)(=O)N1[C@@H](c2cccc(Cl)c2)C(C(=O)O)=CC[C@H]1c1ccc(Cl)cc1
CHEMBL1367070,CHEMBL1367070,Cc1ccccc1C(=O)c1cccn1CC(=O)NCc1ccc2c(c1)OCO2
CHEMBL1367466,CHEMBL1367466,CCc1ccc(CN(C)C(=O)c2cc(COc3cccc4cnccc34)on2)cc1
CHEMBL1367522,CHEMBL1367522,O=C(COc1ccc([N+](=O)[O-])cc1)Nc1cccc2cccnc12
CHEMBL1370870,CHEMBL1370870,Brc1ccc(OCc2nnnn2-c2ccccc2)cc1
CHEMBL1370872,CHEMBL1370872,CC(C)C(C(=O)Nc1ccc2c(c1)OCO2)N1C(=O)c2ccccc2C1=O
CHEMBL1371226,CHEMBL1371226,COc1ccc(-n2nnnc2Sc2ccc(S(=O)(=O)N3CCOCC3)cn2)cc1
CHEMBL1372199,CHEMBL1372199,Cc1ccc(C(=O)c2cc([N+](=O)[O-])ccc2N2CCOCC2)c(C)c1
CHEMBL1372764,CHEMBL1372764,O=C(CCSCc1cccc(Cl)c1)NCCc1ccc(Cl)cc1
CHEMBL1372889,CHEMBL1372889,CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1
CHEMBL1372890,CHEMBL1372890,O=C(O)c1ccc(NC(=O)c2cc3ccccc3o2)cc1
CHEMBL1373385,CHEMBL1373385,CC1CC(N(C(=O)c2ccc(Cl)cc2)c2ccccc2)c2ccccc2N1C(=O)c1ccco1
CHEMBL1373390,CHEMBL1373390,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O
CHEMBL1373410,CHEMBL1373410,CCCCCCCC[S+]([O-])c1sc2nc(C)cc(C)c2c1N
CHEMBL1373736,CHEMBL1373736,O=C(/C=C/c1cccc(Br)c1)NCC1CCCCC1
CHEMBL1373755,CHEMBL1373755,O=C1CSC(=S)N1c1ccc(F)c(Cl)c1
CHEMBL1373785,CHEMBL1373785,CCCc1cc(C(=O)Nc2ccc(C)cc2)no1
CHEMBL1373803,CHEMBL1373803,Cc1nc2c(-c3ccccc3)c(C)nn2c(C)c1CCC(=O)N1CCC2(CC1)OCCO2
CHEMBL1374200,CHEMBL1374200,C=CCNc1nc(-c2cc3ccccc3o2)cs1
CHEMBL1374293,CHEMBL1374293,COc1ccc(C(=O)NC(=S)NCc2ccco2)cc1
CHEMBL1374437,CHEMBL1374437,O=S(=O)(CCc1nc2ccccc2[nH]1)c1ccc(Cl)cc1
CHEMBL1374893,CHEMBL1374893,CCCC(=O)Nc1ccc(C#Cc2ccccc2)cc1
CHEMBL1374979,CHEMBL1374979,CCC1(CC)Cc2ccccc2C(N)=C1C#N
CHEMBL1378243,CHEMBL1378243,COCCCNC(=O)c1ccc2c(=O)n(Cc3ccc(OC)cc3)c(=O)[nH]c2c1
CHEMBL1379003,CHEMBL1379003,CCn1c(C)nc2cc(C(=O)NN=C(S)Nc3ccccc3Cl)ccc21
CHEMBL1379045,CHEMBL1379045,O=S(=O)(Nc1ncnc2sc3c(c12)CCC3)c1ccc(Cl)s1
CHEMBL1382944,CHEMBL1382944,Fc1cccc(-c2cc3nc4c(c(NCc5ccco5)n3n2)CCCC4)c1
CHEMBL1383017,CHEMBL1383017,Cc1ccccc1C(=O)c1cccn1CC(=O)NC(C)CCc1ccccc1
CHEMBL1383019,CHEMBL1383019,Cc1cccc(C(=O)Nc2ccccc2NC(=O)c2cccc(C)c2)c1
CHEMBL1383034,CHEMBL1383034,COC(=O)C1=C(C)N(c2cc(Cl)cc(Cl)c2)C(=O)C1
CHEMBL1383471,CHEMBL1383471,CN(C)c1ccc(NC(=O)C(=O)C2C(=O)Nc3ccccc32)cc1
CHEMBL1383511,CHEMBL1383511,SC1=NC[C@H](CC2CCCCC2)N1CC1CCCCC1
