ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DEC_CHEMBL1332994,fondo,-5.514,21,173,,
DECM_CHEMBL592,fondo,-5.511,19,174,,
DECM_CHEMBL72,fondo,-5.51,20,175,,
DEC_CHEMBL1558140,fondo,-5.507,23,176,,
DECH_CHEMBL1401346,fondo2,-5.506,22,177,,
DECH_CHEMBL1418679,fondo2,-5.499,23,178,,
DECH_CHEMBL311498,fondo2,-5.498,21,179,,
DECM_CHEMBL2165607,fondo,-5.491,16,180,,
DECM_CHEMBL1232461,fondo,-5.483,30,181,,
DEC_CHEMBL1570928,fondo,-5.481,20,182,,
DECH_CHEMBL1201168,fondo2,-5.474,17,183,,
DECH_CHEMBL4802240,fondo2,-5.474,20,184,,
DEC_CHEMBL1092604,fondo,-5.474,18,185,,
DECH_CHEMBL8960,fondo2,-5.471,24,186,,
DEC_CHEMBL1502123,fondo,-5.467,20,187,,
DEC_CHEMBL1346563,fondo,-5.462,20,188,,
DEC_CHEMBL1391531,fondo,-5.458,22,189,,
DECM_CHEMBL1909282,fondo,-5.453,16,190,,
DEC_CHEMBL1608506,fondo,-5.453,23,191,,
DECH_CHEMBL1595,fondo2,-5.451,22,192,,
DECH_CHEMBL1161220,fondo2,-5.449,21,193,,
DECM_CHEMBL1730073,fondo,-5.448,20,194,,
DECM_CHEMBL1939222,fondo,-5.446,16,195,,
DECM_CHEMBL861,fondo,-5.446,16,196,,
DECM_CHEMBL8328,fondo,-5.439,19,197,,
DEC_ONONETIN,fondo,-5.426,19,198,,
DECH_CHEMBL817,fondo2,-5.425,21,199,,
DECM_CHEMBL797,fondo,-5.425,14,200,,
DEC_CHEMBL1524176,fondo,-5.415,20,201,,
DEC_CHEMBL1470097,fondo,-5.411,19,202,,
DECH_CHEMBL1507664,fondo2,-5.408,23,203,,
DECH_CHEMBL1530615,fondo2,-5.407,24,204,,
DEC_MOLIBRESIB,fondo,-5.404,30,205,,
DEC_CHEMBL1435511,fondo,-5.397,30,206,,
DEC_CHEMBL1570216,fondo,-5.393,18,207,,
DEC_CHEMBL1731670,fondo,-5.392,31,208,,
DEC_CHEMBL1574978,fondo,-5.391,18,209,,
DEC_Tizanidine,fondo,-5.39,18,210,,
DEC_CHEMBL1900567,fondo,-5.386,23,211,,
DECH_CHEMBL3311423,fondo2,-5.385,22,212,,
DECM_CHEMBL1118,fondo,-5.378,19,213,,
DECM_CHEMBL712,fondo,-5.374,19,214,,
DEC_CHEMBL2179266,fondo,-5.373,20,215,,
DECH_CHEMBL1602108,fondo2,-5.37,22,216,,
DEC_CHEMBL1730073,fondo,-5.37,20,217,,
DECM_CHEMBL3547132,fondo,-5.369,15,218,,
DEC_CHEMBL1468148,fondo,-5.368,20,219,,
DECH_CHEMBL3309763,fondo2,-5.365,21,220,,
DECM_CHEMBL3400972,fondo,-5.362,15,221,,
DEC_CHEMBL1092603,fondo,-5.361,17,222,,
DEC_CHEMBL1540430,fondo,-5.361,17,223,,
DECH_CHEMBL1540430,fondo2,-5.357,17,224,,
DECM_CHEMBL856,fondo,-5.349,16,225,,
DEC_CHEMBL3189534,fondo,-5.346,28,226,,
DEC_CHEMBL1509423,fondo,-5.33,15,227,,
DECH_CHEMBL1452696,fondo2,-5.326,24,228,,
DEC_CHEMBL1395044,fondo,-5.316,22,229,,
DECH_CHEMBL1391531,fondo2,-5.314,22,230,,
DECM_CHEMBL1102,fondo,-5.314,16,231,,
DECH_CHEMBL1201348,fondo2,-5.312,21,232,,
DEC_CHEMBL1730329,fondo,-5.311,15,233,,
DEC_CHEMBL2356527,fondo,-5.31,24,234,,
DEC_CHEMBL1970198,fondo,-5.308,16,235,,
DEC_CHEMBL1429107,fondo,-5.299,18,236,,
DEC_CHEMBL1875761,fondo,-5.296,20,237,,
DEC_CHEMBL2136341,fondo,-5.295,17,238,,
DEC_CHEMBL1597290,fondo,-5.292,24,239,,
DECM_CHEMBL741,fondo,-5.289,16,240,,
DEC_CHEMBL1896436,fondo,-5.287,25,241,,
DECH_CHEMBL306700,fondo2,-5.282,17,242,,
DECM_CHEMBL1441905,fondo,-5.282,31,243,,
DEC_CHEMBL1939222,fondo,-5.274,16,244,,
DEC_CHEMBL1441905,fondo,-5.269,31,245,,
DECH_CHEMBL1457,fondo2,-5.268,22,246,,
DECH_CHEMBL14370,fondo2,-5.267,23,247,,
DECM_CHEMBL1712280,fondo,-5.267,19,248,,
DEC_CHEMBL2086626,fondo,-5.267,21,249,,
DEC_CHEMBL1373785,fondo,-5.264,18,250,,
DECH_CHEMBL1470097,fondo2,-5.263,19,251,,
DECM_CHEMBL1177,fondo,-5.256,13,252,,
DEC_CHEMBL1343719,fondo,-5.245,18,253,,
DEC_CHEMBL1092384,fondo,-5.242,16,254,,
DECH_CHEMBL295124,fondo2,-5.24,25,255,,
DECH_CHEMBL3137326,fondo2,-5.24,23,256,,
DECH_CHEMBL1009,fondo2,-5.233,14,257,,
DEC_CHEMBL1210791,fondo,-5.232,23,258,,
DEC_CHEMBL1643541,fondo,-5.231,15,259,,
DEC_CHEMBL1536059,fondo,-5.228,21,260,,
DEC_CHEMBL1592685,fondo,-5.221,21,261,,
DECH_CHEMBL1865134,fondo2,-5.217,22,262,,
DEC_CHEMBL1402270,fondo,-5.217,17,263,,
DECM_CHEMBL925,fondo,-5.216,13,264,,
DEC_CHEMBL1879692,fondo,-5.212,20,265,,
DECH_CHEMBL101,fondo2,-5.202,23,266,,
DEC_CHEMBL1900501,fondo,-5.197,17,267,,
DEC_CHEMBL2165612,fondo,-5.194,15,268,,
